T	X	Y	Mean	StdDev
1.000	16.770	12.220	322.322	144.627
2.000	16.770	10.985	315.872	141.197
3.000	16.770	12.285	313.370	142.128
4.000	16.705	12.285	313.524	142.246
5.000	17.745	12.285	313.665	145.407
6.000	17.745	12.545	317.084	144.164
7.000	18.005	11.960	318.774	145.678
8.000	17.745	11.765	317.689	147.835
9.000	17.810	11.700	323.251	147.514
10.000	17.810	10.985	313.264	151.692
11.000	18.005	11.180	313.293	151.362
12.000	18.265	11.505	315.127	149.974
13.000	18.395	11.375	322.562	147.982
14.000	18.590	11.310	322.776	146.713
15.000	18.785	12.285	321.561	147.614
16.000	18.460	12.155	323.760	145.743
17.000	18.590	13.065	320.153	147.184
18.000	18.850	13.325	321.029	148.263
19.000	18.785	13.260	322.554	147.064
20.000	18.460	11.635	325.467	147.804
21.000	18.785	11.830	322.370	148.742
22.000	18.785	11.830	322.638	145.377
23.000	18.525	11.765	320.360	145.624
24.000	18.785	11.960	323.197	146.834
25.000	18.655	11.830	322.661	146.545
26.000	19.110	11.765	320.863	142.717
27.000	19.045	11.635	320.764	142.178
28.000	19.045	11.635	321.188	141.738
29.000	18.915	11.635	322.178	140.516
30.000	18.915	11.570	329.301	139.872
31.000	19.110	12.610	324.104	140.862
32.000	19.370	11.375	327.440	139.733
33.000	19.435	12.805	324.828	141.466
34.000	19.760	12.675	325.813	142.742
35.000	19.500	11.375	323.593	142.410
36.000	19.370	11.505	322.988	144.234
37.000	18.980	11.375	322.344	144.306
38.000	19.500	12.870	317.579	145.440
39.000	20.215	10.985	317.935	148.286
40.000	20.150	11.180	319.672	147.599
41.000	20.085	11.895	321.153	147.983
42.000	19.955	11.895	327.629	147.513
43.000	20.215	13.390	326.652	147.907
44.000	19.760	12.480	323.014	147.347
45.000	19.890	10.530	329.466	144.615
46.000	20.020	13.000	321.325	145.771
47.000	20.085	12.350	324.291	143.822
48.000	19.955	12.155	326.369	143.004
49.000	19.825	12.090	325.603	144.570
50.000	19.760	11.505	328.810	143.528
51.000	19.695	11.700	327.646	145.838
52.000	19.565	11.635	329.047	144.132
53.000	19.565	11.310	332.371	142.528
54.000	19.630	10.985	331.608	142.200
55.000	19.630	11.765	331.002	141.825
56.000	19.240	12.090	326.440	142.047
57.000	19.175	10.010	334.852	137.287
58.000	19.370	11.570	325.405	136.854
59.000	19.435	11.180	324.948	136.042
60.000	19.370	11.310	323.177	134.065
61.000	19.500	11.570	324.657	134.705
62.000	19.500	11.375	324.892	132.474
63.000	19.760	11.570	323.508	131.756
64.000	19.890	11.700	321.124	131.461
65.000	19.825	11.505	324.407	130.363
66.000	19.890	11.375	323.493	130.830
67.000	19.435	12.090	318.153	131.523
68.000	19.565	11.310	321.859	130.653
69.000	19.565	11.375	321.823	130.626
70.000	19.435	11.245	322.862	129.474
71.000	19.435	11.635	321.281	129.459
72.000	19.435	11.310	323.174	129.482
73.000	19.565	11.115	318.152	131.115
74.000	19.565	10.985	316.399	131.789
75.000	19.760	11.245	318.042	131.870
76.000	19.760	10.075	327.768	129.386
77.000	19.695	10.985	319.046	133.691
78.000	19.695	11.115	322.026	134.801
79.000	19.240	10.790	325.093	135.153
80.000	19.435	10.985	327.039	136.246
81.000	19.500	10.985	328.900	137.058
82.000	19.500	11.440	327.123	137.624
83.000	19.500	11.375	329.672	138.165
84.000	19.500	11.440	331.882	138.594
85.000	19.565	11.440	329.267	139.069
86.000	19.500	10.595	334.467	138.701
87.000	19.175	11.310	333.801	141.192
88.000	19.500	11.310	332.583	141.001
89.000	19.565	11.310	334.578	141.989
90.000	18.590	9.750	344.183	140.004
91.000	18.915	11.375	338.668	141.164
92.000	18.915	10.465	340.975	140.943
93.000	19.500	11.245	336.569	142.490
94.000	19.435	9.880	338.510	139.416
95.000	19.565	9.620	340.812	137.662
96.000	19.500	11.310	331.552	140.675
97.000	19.500	11.180	330.855	141.123
98.000	19.630	11.635	330.398	143.149
99.000	19.695	11.635	326.901	142.461
100.000	19.500	11.050	331.863	142.939
101.000	19.435	11.375	329.939	144.180
102.000	19.955	11.765	333.853	144.319
103.000	19.305	11.245	331.557	144.429
104.000	19.370	11.310	329.029	146.469
105.000	19.565	10.725	329.600	146.061
106.000	19.630	10.725	329.243	146.569
107.000	19.630	11.310	333.562	146.010
108.000	19.500	11.375	331.138	146.572
109.000	19.890	10.855	329.503	144.607
110.000	19.955	10.530	332.760	143.377
111.000	19.695	11.700	328.248	145.736
112.000	19.760	10.725	325.404	145.077
113.000	19.695	11.440	326.897	142.465
114.000	23.140	11.700	279.848	150.152
115.000	23.075	11.700	282.052	149.953
116.000	22.360	11.700	289.131	148.550
117.000	22.360	12.350	291.440	148.100
118.000	22.945	12.805	285.886	148.836
119.000	23.205	12.610	283.042	148.374
120.000	23.010	12.675	284.678	147.591
121.000	22.425	11.960	292.817	144.153
