T	X	Y	Mean	StdDev
1.000	30.875	11.115	534.510	232.751
2.000	30.745	11.115	516.767	222.291
3.000	30.680	11.115	513.245	218.054
4.000	30.680	11.180	502.534	214.293
5.000	30.615	11.115	496.240	213.703
6.000	30.680	11.180	493.964	212.341
7.000	30.745	11.310	492.350	205.857
8.000	30.940	11.375	492.363	207.124
9.000	31.200	11.440	496.707	205.018
10.000	31.460	11.440	503.571	203.070
11.000	31.655	11.440	505.852	206.256
12.000	31.720	11.440	509.480	206.402
13.000	31.720	11.505	508.172	206.757
14.000	31.720	11.505	505.086	206.278
15.000	31.785	11.440	507.013	206.471
16.000	31.785	11.505	504.643	208.054
17.000	31.785	11.440	502.741	205.320
18.000	31.785	11.440	503.019	209.845
19.000	31.785	11.375	505.660	208.315
20.000	31.590	11.375	509.784	210.957
21.000	31.590	11.440	512.780	215.809
22.000	31.785	11.505	515.269	213.218
23.000	31.720	11.700	494.074	220.124
24.000	31.590	11.895	502.268	216.230
25.000	31.525	11.960	496.800	216.267
26.000	31.460	12.090	498.872	214.305
27.000	31.395	12.220	498.565	211.987
28.000	31.330	12.415	493.022	210.933
29.000	31.265	12.415	484.866	210.440
30.000	31.265	12.415	481.462	211.027
31.000	31.135	12.480	475.270	214.035
32.000	31.135	12.545	479.693	213.147
33.000	31.135	12.610	477.784	212.033
34.000	31.200	12.610	478.932	205.149
35.000	31.200	12.675	475.447	204.806
36.000	29.575	15.015	422.112	223.003
37.000	29.445	14.950	445.805	208.909
38.000	30.550	13.780	468.568	195.502
39.000	30.615	13.650	468.328	194.968
40.000	30.680	13.585	470.935	192.909
41.000	30.680	13.585	471.861	192.671
42.000	30.745	13.455	472.855	189.453
43.000	30.745	13.390	476.224	190.462
44.000	30.745	13.390	471.302	186.864
45.000	30.810	13.260	472.570	184.899
46.000	30.810	13.260	472.900	182.729
47.000	30.810	13.195	472.958	181.440
48.000	30.875	13.130	472.800	179.859
49.000	30.875	13.065	471.064	179.580
50.000	30.940	12.935	470.349	176.424
51.000	30.940	13.000	470.216	173.906
52.000	31.005	12.805	473.882	172.586
53.000	31.070	12.740	477.324	172.376
54.000	31.005	12.740	475.946	169.820
55.000	31.005	12.805	475.455	167.142
56.000	31.005	12.740	477.134	166.975
57.000	30.940	12.675	477.565	166.022
58.000	30.810	12.610	475.927	163.398
59.000	30.355	13.715	454.825	177.426
60.000	30.680	13.260	466.823	166.183
61.000	30.615	13.390	466.168	166.269
62.000	30.550	13.455	464.787	164.236
