dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)	T (11)	dT (11)	Base Mean (11)	Body Mean (11)	Proj Mean (11)	Tip Mean (11)	Tip Th Mean (11)	Length (11)	dL (11)	DCTM (11)	DCBM (11)	T (12)	dT (12)	Base Mean (12)	Body Mean (12)	Proj Mean (12)	Tip Mean (12)	Tip Th Mean (12)	Length (12)	dL (12)	DCTM (12)	DCBM (12)	T (13)	dT (13)	Base Mean (13)	Body Mean (13)	Proj Mean (13)	Tip Mean (13)	Tip Th Mean (13)	Length (13)	dL (13)	DCTM (13)	DCBM (13)	T (14)	dT (14)	Base Mean (14)	Body Mean (14)	Proj Mean (14)	Tip Mean (14)	Tip Th Mean (14)	Length (14)	dL (14)	DCTM (14)	DCBM (14)	T (15)	dT (15)	Base Mean (15)	Body Mean (15)	Proj Mean (15)	Tip Mean (15)	Tip Th Mean (15)	Length (15)	dL (15)	DCTM (15)	DCBM (15)	T (16)	dT (16)	Base Mean (16)	Body Mean (16)	Proj Mean (16)	Tip Mean (16)	Tip Th Mean (16)	Length (16)	dL (16)	DCTM (16)	DCBM (16)
-10.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-10.000	138.108	322.776	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	-10.000	151.636	322.554	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	-10.000	121.607	327.440	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	-10.000	145.949	321.153	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	-10.000	151.080	321.153	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	-10.000	158.114	325.405	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	-10.000	146.538	333.801	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	-10.000	155.179	338.510	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-9.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-9.000	147.933	321.561	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	-9.000	162.429	325.467	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	-9.000	123.433	324.828	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	-9.000	148.821	327.629	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	-9.000	151.280	327.629	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.000	-9.000	160.381	324.948	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	-9.000	146.385	332.583	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	-9.000	148.667	340.812	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-8.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-8.000	158.933	323.760	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	-8.000	156.211	322.370	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	-8.000	120.500	325.813	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	-8.000	147.128	326.652	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	-8.000	158.667	326.652	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	-8.000	164.302	323.177	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	-8.000	150.615	334.578	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	-8.000	151.389	331.552	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-7.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-7.000	152.833	320.153	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	-7.000	151.000	322.638	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	-7.000	121.286	323.593	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	-7.000	145.763	323.014	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	-7.000	161.744	323.014	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	-7.000	169.220	324.657	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	-7.000	151.231	344.183	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	-7.000	157.556	330.855	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-6.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	-6.000	139.400	321.029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	-6.000	151.357	320.360	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	-6.000	121.036	322.988	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	-6.000	147.237	329.466	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	-6.000	167.897	329.466	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	-6.000	164.553	324.892	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	-6.000	170.769	338.668	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	-6.000	151.139	330.398	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-5.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	-5.000	142.061	322.554	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	-5.000	160.107	323.197	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	-5.000	127.533	322.344	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	-5.000	151.950	321.325	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	-5.000	170.615	321.325	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	-5.000	169.974	323.508	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	-5.000	164.231	340.975	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000	-5.000	154.861	326.901	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-4.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	-4.000	140.419	325.467	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	-4.000	162.281	322.661	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	-4.000	122.107	317.579	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	-4.000	156.256	324.291	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	-4.000	162.372	324.291	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000	-4.000	177.625	321.124	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	-4.000	130.524	336.569	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.000	-4.000	152.028	331.863	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-3.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	-3.000	142.241	322.370	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	-3.000	165.514	320.863	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	-3.000	117.655	317.935	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	-3.000	158.932	326.369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	-3.000	161.256	326.369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	-3.000	179.700	324.407	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	-3.000	147.462	338.510	NaN	NaN	NaN	NaN	NaN	NaN	NaN	101.000	-3.000	155.556	329.939	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-2.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	-2.000	141.062	322.638	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	-2.000	164.630	320.764	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	-2.000	118.677	319.672	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	-2.000	156.733	325.603	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	-2.000	150.719	325.603	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000	-2.000	175.850	323.493	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	-2.000	150.231	340.812	NaN	NaN	NaN	NaN	NaN	NaN	NaN	102.000	-2.000	165.222	333.853	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-1.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	-1.000	144.710	320.360	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	-1.000	151.162	321.188	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	-1.000	119.097	321.153	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	-1.000	158.070	328.810	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	-1.000	142.159	328.810	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	-1.000	165.974	318.153	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	-1.000	157.923	331.552	NaN	NaN	NaN	NaN	NaN	NaN	NaN	103.000	-1.000	158.128	331.557	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.000	1.000	0.000	166.069	322.322	132.628	125.250	136.438	1.314	0.000	NaN	NaN	1.000	0.000	150.000	322.322	129.635	120.152	130.125	3.346	0.000	NaN	NaN	1.000	0.000	164.722	322.322	130.747	123.229	139.500	3.004	0.000	NaN	NaN	1.000	0.000	126.074	322.322	115.284	112.600	118.500	4.948	0.000	NaN	NaN	1.000	0.000	126.533	322.322	117.628	114.467	119.000	7.044	0.000	NaN	NaN	1.000	0.000	156.725	322.322	121.670	114.727	123.750	11.816	0.000	NaN	NaN	1.000	0.000	139.200	322.322	119.382	114.767	119.471	13.267	0.000	NaN	NaN	1.000	0.000	164.200	322.322	121.717	114.594	117.593	5.773	0.000	NaN	NaN	1.000	0.000	114.852	322.322	115.810	111.133	118.467	9.056	0.000	NaN	NaN	24.000	0.000	140.190	323.197	126.329	114.545	119.600	2.562	2.562	NaN	NaN	29.000	0.000	167.622	322.178	147.067	147.357	155.143	0.513	0.513	NaN	NaN	42.000	0.000	131.278	327.629	121.160	114.067	124.100	1.593	1.593	NaN	NaN	51.000	0.000	142.400	327.646	137.000	138.600	143.333	0.561	0.561	NaN	NaN	51.000	0.000	134.026	327.646	122.480	123.152	130.450	0.932	0.932	NaN	NaN	68.000	0.000	150.667	321.859	134.364	133.368	151.111	0.835	0.835	NaN	NaN	97.000	0.000	133.129	330.855	117.157	110.370	115.100	7.815	7.815	NaN	NaN	104.000	0.000	149.214	329.029	136.636	135.500	142.750	0.489	0.489	NaN	NaN
1.000	2.000	1.000	149.148	315.872	129.086	124.361	132.286	1.138	-0.176	-0.019	0.162	2.000	1.000	133.308	315.872	126.695	115.879	122.059	2.719	-0.628	0.178	0.716	2.000	1.000	154.744	315.872	128.975	120.290	129.429	2.885	-0.119	-0.000	0.091	2.000	1.000	127.909	315.872	116.518	114.103	117.125	5.280	0.333	0.075	-0.128	2.000	1.000	128.367	315.872	117.192	111.516	119.667	7.265	0.222	0.060	-0.091	2.000	1.000	152.200	315.872	120.159	111.406	119.562	11.881	0.065	-0.000	-0.092	2.000	1.000	137.061	315.872	117.578	111.344	116.765	13.221	-0.046	-0.090	0.055	2.000	1.000	153.636	315.872	121.776	114.032	121.133	5.722	-0.051	0.023	0.085	2.000	1.000	127.821	315.872	116.062	108.148	115.083	11.515	2.459	-0.000	-2.380	25.000	1.000	133.306	322.661	122.512	116.727	124.588	1.528	-1.033	-0.052	0.866	30.000	1.000	175.391	329.301	159.177	114.667	120.938	4.319	3.806	3.253	-0.358	43.000	1.000	126.867	326.652	121.604	113.000	118.556	1.612	0.019	0.126	0.063	52.000	1.000	142.956	329.047	131.840	129.722	145.087	0.965	0.404	-0.130	-0.338	52.000	1.000	158.234	329.047	134.220	121.571	130.579	1.769	0.837	0.063	-0.820	69.000	1.000	142.523	321.823	130.719	128.391	147.938	0.965	0.130	0.156	0.143	98.000	1.000	128.333	330.398	114.735	109.931	117.556	7.693	-0.122	0.206	0.285	105.000	1.000	149.500	329.600	132.071	132.182	137.286	0.542	0.053	0.138	0.092
2.000	3.000	2.000	158.464	313.370	129.458	124.389	132.950	1.184	0.046	-0.000	-0.083	3.000	2.000	133.282	313.370	124.966	111.857	120.375	3.116	0.398	0.247	-0.144	3.000	2.000	165.913	313.370	129.864	124.314	133.000	2.950	0.065	-0.040	-0.000	3.000	2.000	126.852	313.370	116.722	113.452	118.650	5.131	-0.149	0.064	0.064	3.000	2.000	126.100	313.370	115.148	110.667	116.368	7.265	0.000	0.051	-0.000	3.000	2.000	150.958	313.370	119.455	111.000	117.733	12.049	0.168	-0.044	0.004	3.000	2.000	138.061	313.370	117.613	108.667	115.286	13.267	0.046	0.000	-0.090	3.000	2.000	164.489	313.370	122.252	111.467	122.400	5.864	0.141	0.099	-0.021	3.000	2.000	116.741	313.370	115.101	108.156	115.143	9.045	-2.470	0.154	2.546	26.000	2.000	135.121	320.863	123.227	116.750	124.294	1.620	0.092	0.062	-0.020	31.000	2.000	166.512	324.104	154.250	117.909	134.375	4.793	0.474	0.447	0.123	44.000	2.000	130.485	323.014	120.241	113.900	117.400	1.945	0.333	0.142	-0.126	53.000	2.000	143.778	332.371	133.350	132.706	141.714	0.550	-0.416	0.126	0.216	53.000	2.000	153.140	332.371	132.743	117.939	136.667	1.593	-0.176	0.079	0.142	70.000	2.000	148.614	322.862	131.377	127.571	143.067	0.989	0.023	0.191	0.000	99.000	2.000	130.519	326.901	117.090	112.667	118.643	7.980	0.287	0.205	-0.022	106.000	2.000	140.652	329.243	130.258	131.095	146.421	0.995	0.453	-0.022	-0.223
3.000	4.000	3.000	158.593	313.524	133.064	128.972	134.348	1.184	0.000	-0.000	0.018	4.000	3.000	129.121	313.524	124.622	115.212	122.533	2.875	-0.241	0.044	0.228	4.000	3.000	158.279	313.524	129.424	121.389	130.952	2.801	-0.149	0.135	0.145	4.000	3.000	127.407	313.524	116.830	112.154	119.133	5.234	0.103	-0.052	-0.128	4.000	3.000	128.486	313.524	116.461	114.250	122.905	7.625	0.360	0.142	-0.103	4.000	3.000	156.585	313.524	119.362	110.088	118.737	11.927	-0.122	0.044	0.044	4.000	3.000	145.775	313.524	118.687	109.900	115.647	13.470	0.203	0.000	-0.055	4.000	3.000	154.432	313.524	123.512	112.312	117.143	5.540	-0.323	0.209	0.221	4.000	3.000	116.296	313.524	114.608	111.531	119.867	9.313	0.268	0.155	-0.064	27.000	3.000	136.690	320.764	122.800	114.273	121.778	1.777	0.157	0.107	-0.018	32.000	3.000	167.674	327.440	152.367	119.222	123.500	5.237	0.444	0.137	-0.089	45.000	3.000	125.194	329.466	115.922	109.645	115.143	2.148	0.203	0.191	0.000	54.000	3.000	143.667	331.608	133.170	134.094	141.393	0.955	0.405	0.171	-0.094	54.000	3.000	126.926	331.608	121.487	120.906	130.786	0.640	-0.953	0.130	1.040	71.000	3.000	153.068	321.281	131.774	123.257	134.174	1.154	0.165	0.142	-0.183	100.000	3.000	127.444	331.863	116.960	111.069	117.294	8.190	0.211	-0.122	-0.350	107.000	3.000	142.696	333.562	129.943	129.720	140.870	1.003	0.008	0.046	0.046
4.000	5.000	4.000	150.630	313.665	131.709	126.806	133.619	1.203	0.019	-0.000	-0.000	5.000	4.000	133.718	313.665	123.455	111.906	116.091	3.603	0.728	0.337	-0.267	5.000	4.000	167.667	313.665	131.989	124.189	136.667	2.912	0.111	-0.092	-0.100	5.000	4.000	117.333	313.665	113.764	109.806	114.810	3.999	-1.235	0.064	1.235	5.000	4.000	138.116	313.665	117.914	110.706	118.071	8.529	0.903	-0.325	-1.106	5.000	4.000	141.216	313.665	120.659	108.370	114.158	11.678	-0.249	-0.048	0.044	5.000	4.000	143.098	313.665	118.121	109.194	114.000	13.470	0.000	0.000	-0.035	5.000	4.000	122.111	313.665	116.497	110.903	115.818	2.890	-2.651	-0.154	2.407	5.000	4.000	115.556	313.665	113.172	109.818	117.154	9.156	-0.157	-0.077	-0.000	28.000	4.000	128.282	321.188	120.742	117.629	122.708	1.536	-0.241	0.000	0.268	33.000	4.000	163.444	324.828	152.067	118.800	129.278	5.624	0.387	0.173	0.030	46.000	4.000	124.128	321.325	117.238	112.548	115.931	2.565	0.417	0.268	-0.064	55.000	4.000	140.956	331.002	126.036	125.588	138.778	1.043	0.089	0.162	0.180	55.000	4.000	129.067	331.002	120.053	119.571	129.538	0.802	0.162	0.202	0.064	72.000	4.000	151.744	323.174	129.807	120.583	132.857	1.357	0.203	0.197	0.000	101.000	4.000	135.742	329.939	116.967	108.750	116.533	8.466	0.276	-0.182	-0.373	108.000	4.000	141.026	331.138	127.367	126.750	142.500	0.835	-0.167	-0.013	0.026
5.000	6.000	5.000	160.857	317.084	132.535	128.694	137.000	1.184	-0.019	-0.000	-0.022	6.000	5.000	133.641	317.084	126.109	115.455	122.250	3.584	-0.019	0.286	0.286	6.000	5.000	157.205	317.084	131.199	128.472	142.200	2.701	-0.211	-0.000	0.233	6.000	5.000	123.778	317.084	117.827	115.931	126.727	4.214	0.214	-0.088	-0.268	6.000	5.000	134.625	317.084	118.757	109.281	116.353	8.540	0.011	-0.325	-0.325	6.000	5.000	145.026	317.084	120.566	109.677	118.938	11.789	0.111	-0.044	-0.000	6.000	5.000	142.225	317.084	117.203	108.188	117.235	13.313	-0.157	0.055	0.180	6.000	5.000	144.345	317.084	121.975	112.118	119.286	4.994	2.104	-0.204	-2.308	6.000	5.000	113.519	317.084	113.142	108.933	116.056	8.303	-0.853	-0.331	0.491	29.000	5.000	132.905	322.178	124.097	116.788	124.333	2.183	0.647	0.043	-0.595	34.000	5.000	172.348	325.813	147.430	118.735	122.069	6.171	0.547	0.144	-0.205	47.000	5.000	130.071	324.291	118.504	113.393	118.571	2.933	0.368	0.017	-0.331	56.000	5.000	146.304	326.440	131.208	125.719	135.562	1.173	0.130	0.234	-0.091	56.000	5.000	130.485	326.440	121.544	119.629	127.474	0.887	0.084	0.204	0.063	73.000	5.000	146.606	318.152	128.716	119.323	125.609	1.460	0.103	0.174	0.029	102.000	5.000	133.929	333.853	115.756	109.500	116.308	8.566	0.100	0.038	-0.084	109.000	5.000	142.109	329.503	126.557	123.571	131.478	0.998	0.163	0.116	-0.145
