T	X	Y	Mean	StdDev
1.000	25.740	19.825	384.757	157.095
2.000	23.465	20.085	308.602	168.057
3.000	23.465	20.215	309.573	169.892
4.000	23.465	20.150	312.099	168.647
5.000	23.595	20.150	316.612	168.092
6.000	23.595	20.215	322.298	170.384
7.000	23.660	20.215	328.672	166.354
8.000	23.920	20.345	338.290	167.906
9.000	23.920	20.280	337.562	167.472
10.000	23.595	20.345	344.086	163.728
11.000	23.140	20.280	345.102	162.606
12.000	22.425	20.215	345.929	160.355
13.000	22.425	20.280	346.429	157.779
14.000	22.490	20.475	347.060	155.301
15.000	22.555	20.670	346.467	148.508
16.000	22.555	20.865	346.939	144.443
17.000	22.620	20.410	344.958	141.393
18.000	22.750	21.125	344.178	138.819
19.000	22.880	21.190	344.273	135.381
20.000	22.945	21.255	345.536	134.720
21.000	23.010	21.320	344.905	130.872
22.000	23.075	21.385	346.619	127.723
23.000	23.140	21.125	343.038	128.156
24.000	23.205	21.385	342.458	125.918
25.000	23.270	21.580	341.504	127.593
26.000	23.465	21.645	341.857	126.626
27.000	23.530	21.905	338.254	126.592
28.000	24.180	21.970	338.579	125.951
29.000	23.790	22.425	338.470	128.801
30.000	24.375	22.230	341.903	125.599
31.000	24.375	22.035	337.488	125.342
32.000	24.440	22.360	337.130	123.014
33.000	24.440	22.035	339.508	121.239
34.000	23.920	22.035	339.225	123.098
35.000	24.895	22.100	338.658	120.682
36.000	24.830	22.100	338.375	120.222
37.000	24.765	21.905	335.330	119.842
38.000	25.220	21.255	332.002	120.708
39.000	24.635	21.320	329.786	119.609
40.000	25.025	21.320	330.043	120.852
41.000	25.220	21.385	329.527	120.008
42.000	25.350	21.450	328.176	118.938
43.000	25.155	21.645	325.711	117.920
44.000	25.285	21.905	322.736	119.586
45.000	25.415	22.035	325.326	120.093
46.000	24.895	22.295	322.413	121.699
47.000	25.025	22.360	325.468	124.353
48.000	25.025	22.295	322.711	124.426
49.000	25.155	22.295	323.073	124.945
50.000	25.350	22.165	324.524	124.085
51.000	25.350	22.295	325.863	123.244
52.000	25.415	22.425	325.844	122.050
53.000	25.480	22.490	323.993	123.167
54.000	25.480	22.555	320.221	124.894
55.000	25.285	22.750	323.768	123.342
56.000	25.415	22.555	326.394	123.381
57.000	25.415	22.425	325.048	122.897
58.000	25.285	22.100	326.680	123.312
59.000	25.545	21.840	325.485	120.696
60.000	25.480	21.645	326.951	120.295
61.000	25.740	21.840	325.939	121.603
62.000	25.480	21.710	321.022	122.077
63.000	25.350	20.995	326.106	121.701
64.000	25.285	20.865	327.773	123.502
65.000	25.155	20.670	327.926	125.652
66.000	25.090	20.605	327.619	127.753
67.000	24.700	20.605	327.743	126.456
68.000	24.765	20.605	329.715	126.027
69.000	24.700	20.735	326.017	126.802
70.000	24.765	20.995	329.640	124.430
71.000	24.765	20.930	324.491	122.274
72.000	24.700	20.995	327.622	119.693
73.000	24.440	20.995	326.064	118.460
74.000	24.245	21.125	326.633	116.627
75.000	24.115	21.060	325.283	115.804
76.000	24.115	20.995	324.513	113.452
77.000	24.180	20.735	323.698	116.244
78.000	24.310	20.475	324.959	116.236
79.000	24.375	20.540	327.391	116.535
80.000	24.505	20.800	333.144	117.971
81.000	24.505	20.280	332.273	117.217
82.000	24.635	20.150	335.773	117.138
83.000	24.570	19.955	337.409	117.970
84.000	24.700	19.955	340.747	120.187
85.000	24.765	19.890	341.495	120.375
86.000	24.895	19.890	339.209	118.391
87.000	24.830	20.020	339.131	121.561
88.000	25.090	20.410	341.515	119.994
89.000	25.025	19.825	342.845	118.406
90.000	25.090	19.825	343.075	119.873
91.000	25.285	19.890	339.246	120.034
92.000	25.350	20.020	341.408	119.301
93.000	24.830	19.955	340.517	119.365
94.000	23.075	20.215	333.016	120.960
95.000	23.010	20.540	332.264	122.945
96.000	23.010	20.215	330.436	122.638
97.000	22.945	20.475	329.773	123.546
98.000	23.075	20.345	328.885	123.955
99.000	23.075	20.280	324.887	123.696
100.000	23.075	20.150	326.362	123.493
101.000	25.350	20.150	336.763	119.893
102.000	23.075	20.150	328.041	120.870
103.000	23.205	19.565	321.792	121.526
104.000	23.205	19.500	323.836	120.455
105.000	23.205	19.565	323.810	120.380
106.000	23.140	19.695	321.587	122.983
107.000	25.350	19.825	328.781	120.394
108.000	25.285	19.760	329.067	119.536
109.000	25.285	19.760	328.382	120.095
110.000	22.880	19.760	319.554	122.702
111.000	22.880	19.695	321.689	122.525
112.000	22.815	19.630	323.811	122.816
113.000	22.880	19.825	325.623	122.684
114.000	22.945	19.825	326.408	122.611
115.000	23.010	20.020	326.826	121.899
116.000	23.075	20.085	325.974	120.399
117.000	23.140	20.085	325.689	120.634
118.000	23.205	20.150	324.927	120.689
119.000	25.415	20.410	332.195	117.676
120.000	23.205	22.945	314.194	124.147
121.000	23.140	22.945	315.054	121.791
