dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)	T (11)	dT (11)	Base Mean (11)	Body Mean (11)	Proj Mean (11)	Tip Mean (11)	Tip Th Mean (11)	Length (11)	dL (11)	DCTM (11)	DCBM (11)	T (12)	dT (12)	Base Mean (12)	Body Mean (12)	Proj Mean (12)	Tip Mean (12)	Tip Th Mean (12)	Length (12)	dL (12)	DCTM (12)	DCBM (12)	T (13)	dT (13)	Base Mean (13)	Body Mean (13)	Proj Mean (13)	Tip Mean (13)	Tip Th Mean (13)	Length (13)	dL (13)	DCTM (13)	DCBM (13)	T (14)	dT (14)	Base Mean (14)	Body Mean (14)	Proj Mean (14)	Tip Mean (14)	Tip Th Mean (14)	Length (14)	dL (14)	DCTM (14)	DCBM (14)	T (15)	dT (15)	Base Mean (15)	Body Mean (15)	Proj Mean (15)	Tip Mean (15)	Tip Th Mean (15)	Length (15)	dL (15)	DCTM (15)	DCBM (15)	T (16)	dT (16)	Base Mean (16)	Body Mean (16)	Proj Mean (16)	Tip Mean (16)	Tip Th Mean (16)	Length (16)	dL (16)	DCTM (16)	DCBM (16)	T (17)	dT (17)	Base Mean (17)	Body Mean (17)	Proj Mean (17)	Tip Mean (17)	Tip Th Mean (17)	Length (17)	dL (17)	DCTM (17)	DCBM (17)
-20.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	-20.000	150.360	261.820	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	-20.000	155.895	253.584	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	-20.000	140.000	252.555	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	-20.000	139.471	252.462	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	-20.000	157.111	252.783	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000	-20.000	158.194	247.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	-20.000	131.273	250.056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	-20.000	133.846	252.980	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	-20.000	140.179	252.284	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	-20.000	136.231	251.247	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-19.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-19.000	159.000	260.619	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	-19.000	163.514	255.174	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	-19.000	135.176	252.462	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	-19.000	154.353	250.774	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	-19.000	156.741	252.667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	-19.000	148.462	250.056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	-19.000	135.600	250.140	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	-19.000	132.417	254.267	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	-19.000	144.538	251.247	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	-19.000	138.462	250.367	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-18.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	-18.000	157.321	261.455	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	-18.000	153.000	252.377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	-18.000	144.474	250.774	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	-18.000	147.000	252.325	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	-18.000	150.148	252.617	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	-18.000	152.000	250.140	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	-18.000	138.742	251.392	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	-18.000	130.952	253.267	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	-18.000	142.949	250.367	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	-18.000	129.000	250.201	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-17.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-17.000	147.679	261.970	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	-17.000	151.303	252.555	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	-17.000	142.143	252.325	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	-17.000	151.529	252.783	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	-17.000	155.969	251.832	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	-17.000	156.429	251.392	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	-17.000	138.452	252.151	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	-17.000	132.450	251.050	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	-17.000	146.308	250.201	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	-17.000	130.231	250.793	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-16.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-16.000	161.179	262.670	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	-16.000	173.083	252.462	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	-16.000	142.857	252.783	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	-16.000	149.231	252.667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	-16.000	143.762	251.759	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	-16.000	165.840	252.151	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	-16.000	138.290	254.019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	-16.000	137.923	252.485	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	-16.000	146.179	250.793	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	-16.000	139.000	251.439	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-15.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-15.000	152.786	263.402	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	-15.000	149.050	250.774	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	-15.000	143.379	252.667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	-15.000	147.560	252.617	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	-15.000	163.750	250.995	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	-15.000	164.217	254.019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	-15.000	124.846	252.165	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	-15.000	141.846	253.293	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	-15.000	139.200	251.439	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	-15.000	130.231	250.454	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-14.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-14.000	191.667	265.191	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	-14.000	149.067	252.325	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	-14.000	145.440	252.617	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	-14.000	144.229	251.832	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	-14.000	159.103	251.091	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	-14.000	159.667	252.165	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	-14.000	123.500	254.597	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	-14.000	136.438	253.241	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	-14.000	146.297	250.454	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000	-14.000	142.077	249.823	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-13.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-13.000	142.571	262.391	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	-13.000	163.320	252.783	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	-13.000	138.400	251.832	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	-13.000	142.780	251.759	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	-13.000	159.156	250.805	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	-13.000	167.733	254.597	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	-13.000	132.909	254.894	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	-13.000	135.615	252.923	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000	-13.000	139.826	249.823	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.000	-13.000	134.231	247.476	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-12.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-12.000	146.607	262.209	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	-12.000	174.870	252.667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	-12.000	143.966	251.759	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	-12.000	147.976	250.995	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	-12.000	157.184	250.635	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	-12.000	176.800	254.894	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	-12.000	130.593	254.555	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	-12.000	133.316	252.284	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.000	-12.000	143.500	247.476	NaN	NaN	NaN	NaN	NaN	NaN	NaN	101.000	-12.000	132.154	244.901	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-11.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-11.000	161.231	260.671	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	-11.000	153.269	252.617	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	-11.000	146.222	250.995	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	-11.000	143.289	251.091	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	-11.000	160.216	248.657	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	-11.000	175.241	254.555	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	-11.000	153.586	256.314	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	-11.000	122.176	251.247	NaN	NaN	NaN	NaN	NaN	NaN	NaN	101.000	-11.000	146.000	244.901	NaN	NaN	NaN	NaN	NaN	NaN	NaN	102.000	-11.000	140.692	247.193	NaN	NaN	NaN	NaN	NaN	NaN	NaN
