dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)
66.000	67.000	66.000	271.690	668.359	197.535	162.828	175.125	2.842	-0.016	-0.061	0.068	67.000	66.000	269.083	668.359	198.049	134.962	144.294	8.314	0.008	0.065	0.065	67.000	66.000	247.179	668.359	184.830	142.875	159.182	10.367	-0.566	-0.093	0.268	67.000	66.000	257.674	668.359	185.553	142.308	167.900	5.810	0.103	-0.052	-0.091	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	66.000	284.275	668.359	188.521	144.226	150.870	18.511	0.065	0.040	0.020	67.000	66.000	207.414	668.359	169.351	146.615	156.000	19.613	-0.081	0.025	0.032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
67.000	68.000	67.000	293.419	667.121	201.073	160.423	177.125	3.010	0.168	0.000	-0.184	68.000	67.000	288.861	667.121	202.615	145.733	152.480	8.487	0.173	0.002	-0.067	68.000	67.000	285.810	667.121	185.721	147.226	163.611	11.166	0.799	-0.063	-0.663	68.000	67.000	262.217	667.121	184.566	147.077	166.500	5.921	0.111	-0.000	-0.091	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	67.000	278.350	667.121	188.967	135.214	142.737	18.503	-0.008	0.104	0.062	68.000	67.000	204.690	667.121	168.347	157.333	179.000	19.678	0.065	0.145	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
68.000	69.000	68.000	319.826	659.012	209.693	163.926	186.125	3.075	0.065	0.000	-0.062	69.000	68.000	283.632	659.012	199.127	142.500	156.462	8.349	-0.138	-0.067	0.063	69.000	68.000	246.233	659.012	180.942	150.897	160.276	10.505	-0.661	-0.028	0.599	69.000	68.000	269.605	659.012	186.743	142.100	164.882	5.975	0.054	-0.000	-0.091	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	68.000	233.000	659.012	183.830	139.133	150.833	17.856	-0.647	0.168	0.716	69.000	68.000	209.552	659.012	169.886	158.167	166.174	19.594	-0.084	-0.170	0.032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
69.000	70.000	69.000	252.250	662.028	196.949	162.094	176.364	2.574	-0.501	0.000	0.411	70.000	69.000	276.395	662.028	196.486	146.833	175.200	8.414	0.065	-0.065	-0.065	70.000	69.000	267.911	662.028	182.672	139.000	148.824	11.350	0.845	0.127	-0.663	70.000	69.000	253.217	662.028	185.480	139.267	163.176	5.837	-0.138	-0.000	0.182	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	69.000	221.214	662.028	186.689	138.200	146.571	17.998	0.141	0.294	0.143	70.000	69.000	223.857	662.028	169.798	153.793	166.632	19.686	0.092	0.056	-0.121	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
70.000	71.000	70.000	296.875	665.649	202.806	159.633	182.615	2.838	0.265	0.000	-0.291	71.000	70.000	288.809	665.649	196.806	143.889	150.737	8.525	0.111	0.065	0.000	71.000	70.000	271.738	665.649	181.662	143.613	159.571	11.269	-0.081	-0.000	0.064	71.000	70.000	316.395	665.649	200.044	139.808	170.636	7.192	1.355	-0.000	-1.367	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	70.000	244.321	665.649	186.705	137.500	146.733	18.300	0.303	0.062	-0.205	71.000	70.000	212.676	665.649	169.483	147.345	161.722	19.816	0.130	-0.056	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71.000	72.000	71.000	312.062	663.455	207.663	161.926	180.588	3.052	0.214	0.000	-0.145	72.000	71.000	277.690	663.455	201.677	144.517	156.429	8.035	-0.490	0.000	0.261	72.000	71.000	265.889	663.455	186.915	151.406	169.067	11.223	-0.046	0.093	-0.000	72.000	71.000	309.829	663.455	195.510	150.074	170.833	7.295	0.103	-0.000	-0.106	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	71.000	252.333	663.455	185.054	136.000	143.500	18.284	-0.016	0.000	0.000	72.000	71.000	212.207	663.455	169.222	148.633	162.765	19.548	-0.268	-0.056	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
72.000	73.000	72.000	305.957	664.225	202.265	156.897	174.875	3.007	-0.046	0.000	0.052	73.000	72.000	293.422	664.225	205.339	142.115	153.941	8.498	0.463	0.065	-0.262	73.000	72.000	275.897	664.225	180.015	138.237	150.769	11.145	-0.078	-2.065	-0.326	73.000	72.000	324.000	664.225	198.183	150.222	171.875	7.452	0.157	-0.000	-0.091	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	72.000	260.767	664.225	182.894	135.829	150.000	18.969	0.685	0.501	-0.063	73.000	72.000	213.586	664.225	168.452	146.259	160.867	19.464	-0.084	-0.089	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
73.000	74.000	73.000	303.432	517.832	204.207	162.333	188.133	2.922	-0.084	0.000	0.118	74.000	73.000	273.029	517.832	200.305	144.586	155.133	7.889	-0.609	-0.065	0.391	74.000	73.000	170.143	517.832	158.250	158.250	169.500	0.238	-10.907	-0.087	7.180	74.000	73.000	153.200	517.832	143.714	139.500	148.667	0.433	-7.020	0.233	6.628	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	73.000	264.759	517.832	185.106	142.975	150.806	18.766	-0.203	-0.188	0.000	74.000	73.000	209.172	517.832	169.639	156.655	176.900	19.288	-0.176	-0.168	-0.033	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
74.000	75.000	74.000	294.558	658.633	197.464	156.654	168.217	2.831	-0.092	0.000	0.059	75.000	74.000	272.059	658.633	202.904	143.192	155.350	7.713	-0.176	0.001	0.195	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	74.000	250.633	658.633	193.137	148.677	174.737	6.626	6.194	-0.102	-5.980	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	74.000	258.857	658.633	187.294	148.324	157.762	18.869	0.103	0.314	0.080	75.000	74.000	224.200	658.633	170.797	158.000	169.150	19.740	0.452	-0.089	-0.245	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
75.000	76.000	75.000	297.000	656.840	195.423	159.654	181.000	2.896	0.065	0.000	-0.059	76.000	75.000	281.413	656.840	204.772	136.900	148.632	7.870	0.157	-0.001	-0.001	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	75.000	256.235	656.840	192.203	147.192	167.706	6.519	-0.108	-0.091	0.039	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	75.000	258.419	656.840	187.664	151.062	162.609	19.248	0.379	0.205	-0.063	76.000	75.000	215.976	656.840	170.353	154.138	179.375	19.472	-0.268	-0.056	0.089	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
76.000	77.000	76.000	272.025	658.895	192.090	156.862	170.500	2.758	-0.138	0.000	0.049	77.000	76.000	303.522	658.895	208.320	143.483	154.421	7.786	-0.084	0.000	0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	76.000	271.381	658.895	193.895	143.179	161.867	6.989	0.471	0.015	-0.340	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	76.000	268.622	658.895	188.435	144.586	159.688	19.466	0.217	0.240	-0.063	77.000	76.000	219.689	658.895	172.394	150.600	164.625	19.602	0.130	-0.056	-0.034	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
77.000	78.000	77.000	280.056	654.674	190.292	161.214	175.611	2.739	-0.019	0.000	-0.085	78.000	77.000	251.815	654.674	168.650	142.462	155.154	5.161	-2.625	0.065	2.007	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	77.000	280.238	654.674	193.486	143.138	168.056	6.997	0.008	-0.052	-0.039	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	77.000	276.919	654.674	188.764	144.355	160.750	19.439	-0.027	-0.063	0.000	78.000	77.000	218.783	654.674	173.331	150.333	166.278	19.648	0.046	0.000	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
78.000	79.000	78.000	311.250	653.959	194.264	154.300	173.167	3.018	0.279	0.000	-0.099	79.000	78.000	253.607	653.959	171.986	145.433	158.400	5.180	0.019	0.000	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.000	78.000	328.628	653.959	212.586	147.962	174.000	7.739	0.742	-0.000	-0.666	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.000	78.000	270.804	653.959	187.667	149.971	166.176	19.247	-0.192	-0.063	0.143	79.000	78.000	236.667	653.959	173.010	144.192	157.308	19.594	-0.054	-0.066	-0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
79.000	80.000	79.000	253.588	653.811	188.012	150.964	160.783	2.620	-0.398	0.061	0.288	80.000	79.000	249.207	653.811	170.290	145.821	152.500	5.375	0.195	-0.065	-0.262	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000	79.000	264.559	653.811	191.837	147.154	169.143	6.316	-1.423	-0.000	1.160	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000	79.000	283.333	653.811	190.574	141.543	149.962	19.106	-0.141	0.143	0.285	80.000	79.000	229.978	653.811	171.215	144.360	157.000	19.716	0.122	0.145	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
80.000	81.000	80.000	258.172	659.389	184.339	155.720	168.800	2.528	-0.092	-0.061	0.000	81.000	80.000	240.074	659.389	168.480	141.700	155.353	5.551	0.176	0.065	-0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	80.000	298.636	659.389	206.330	141.346	160.789	7.398	1.083	-0.180	-1.139	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	80.000	256.400	659.389	186.950	151.581	166.938	18.570	-0.536	-0.250	0.285	81.000	80.000	233.477	659.389	172.512	141.963	149.000	19.962	0.246	0.089	-0.089	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
81.000	82.000	81.000	279.125	655.667	188.605	164.667	176.409	2.704	0.176	-0.061	-0.123	82.000	81.000	238.207	655.667	164.359	135.871	148.500	5.597	0.046	-0.002	-0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	81.000	314.235	655.667	205.418	146.100	161.375	7.242	-0.157	-0.269	-0.090	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	81.000	244.607	655.667	182.486	144.562	152.609	17.055	-1.515	-0.032	1.073	82.000	81.000	200.297	655.667	170.215	146.074	158.077	19.334	-0.628	-0.145	0.267	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
82.000	83.000	82.000	273.034	652.029	183.978	155.500	171.368	2.387	-0.317	-0.086	0.095	83.000	82.000	241.333	652.029	170.751	142.889	155.000	5.505	-0.092	0.002	0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	82.000	297.381	652.029	195.865	143.259	159.526	6.993	-0.249	-0.000	0.306	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	82.000	252.786	652.029	185.243	150.517	161.529	18.042	0.988	0.554	-0.205	83.000	82.000	212.523	652.029	170.105	140.182	145.688	19.586	0.252	0.000	-0.123	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
83.000	84.000	83.000	233.865	649.094	178.042	151.964	163.000	2.188	-0.198	0.014	0.215	84.000	83.000	226.926	649.094	162.737	136.679	150.769	5.486	-0.019	0.000	0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	83.000	310.568	649.094	196.236	146.667	170.882	7.112	0.119	-0.000	-0.144	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	83.000	226.222	649.094	184.014	162.091	176.857	18.448	0.406	0.339	0.141	84.000	83.000	202.907	649.094	168.871	135.708	151.250	19.548	-0.038	0.089	0.089	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
84.000	85.000	84.000	268.378	657.992	181.288	149.929	160.700	2.418	0.230	0.000	-0.182	85.000	84.000	247.655	657.992	169.442	140.385	146.842	5.759	0.273	0.000	-0.128	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	84.000	327.093	657.992	200.645	148.077	169.950	7.280	0.168	-0.000	-0.109	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	84.000	262.103	657.992	185.642	170.294	183.238	18.827	0.379	0.030	-0.283	85.000	84.000	217.348	657.992	168.103	134.542	145.636	19.824	0.276	0.000	-0.178	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
85.000	86.000	85.000	264.738	655.485	179.353	151.483	174.111	2.307	-0.111	0.044	0.052	86.000	85.000	255.483	655.485	174.378	142.828	151.450	5.613	-0.146	-0.065	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	85.000	321.953	655.485	203.708	147.069	161.789	7.196	-0.084	-0.000	0.054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	85.000	249.559	655.485	187.238	173.389	190.783	18.735	-0.092	-0.237	-0.157	86.000	85.000	237.196	655.485	170.435	139.542	147.750	20.268	0.444	0.089	-0.413	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
86.000	87.000	86.000	268.410	647.792	183.176	151.200	182.000	2.234	-0.073	-0.041	0.041	87.000	86.000	223.111	647.792	168.550	142.621	154.385	5.770	0.157	0.128	-0.002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	86.000	315.949	647.792	200.837	146.423	171.267	6.901	-0.295	-0.000	0.234	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	86.000	214.585	647.792	178.113	174.647	206.667	15.639	-3.096	-0.063	2.737	87.000	86.000	232.860	647.792	168.363	138.308	143.130	20.268	0.000	0.200	0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
87.000	88.000	87.000	267.154	650.021	184.264	153.280	162.864	2.253	0.019	0.000	-0.014	88.000	87.000	222.481	650.021	170.309	146.929	161.250	5.540	-0.230	-0.128	0.067	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	87.000	302.667	650.021	194.337	141.900	159.333	6.809	-0.092	-0.035	0.144	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	87.000	236.214	650.021	188.530	173.971	192.778	17.655	2.016	-0.032	-1.907	88.000	87.000	205.237	650.021	168.272	130.619	148.000	19.900	-0.368	0.201	0.478	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
88.000	89.000	88.000	273.100	645.109	182.414	152.893	165.095	2.253	0.000	0.000	0.037	89.000	88.000	234.889	645.109	177.435	146.778	159.533	5.762	0.222	0.000	-0.194	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	88.000	293.143	645.109	197.145	145.815	171.294	6.847	0.038	-0.055	-0.109	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	88.000	227.850	645.109	176.694	174.853	214.583	15.501	-2.154	-0.063	1.921	89.000	88.000	205.968	645.109	166.797	133.857	139.111	19.873	-0.027	0.145	0.122	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
89.000	90.000	89.000	279.711	653.327	188.665	156.321	175.923	2.448	0.195	0.000	-0.166	90.000	89.000	232.333	653.327	181.024	144.207	157.857	5.705	-0.057	0.000	0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	89.000	282.279	653.327	199.422	145.500	173.071	6.690	-0.157	-0.000	0.144	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	89.000	244.550	653.327	188.297	165.618	187.000	18.034	2.533	0.000	-2.396	90.000	89.000	220.696	653.327	166.693	141.619	145.800	20.382	0.509	0.112	-0.155	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
90.000	91.000	90.000	255.978	649.350	179.388	152.286	166.450	2.422	-0.027	0.000	0.055	91.000	90.000	225.889	649.350	168.920	143.346	151.625	4.454	-1.251	-0.002	1.100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	90.000	295.810	649.350	197.564	144.357	160.538	6.874	0.184	0.055	-0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	90.000	238.974	649.350	188.979	172.618	190.455	17.747	-0.287	-0.063	0.205	91.000	90.000	208.645	649.350	165.663	133.182	137.722	20.030	-0.352	0.089	0.243	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
91.000	92.000	91.000	292.844	652.443	184.498	153.192	163.773	2.578	0.157	-0.053	-0.181	92.000	91.000	245.862	652.443	175.143	143.655	150.762	4.817	0.363	0.000	-0.389	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	91.000	297.523	652.443	199.179	143.233	155.684	6.958	0.084	-0.000	-0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	91.000	247.571	652.443	189.871	167.800	187.524	17.831	0.084	-0.063	-0.126	92.000	91.000	213.800	652.443	167.379	135.261	139.421	20.076	0.046	0.033	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
92.000	93.000	92.000	293.436	649.479	184.270	154.071	166.278	2.559	-0.019	0.000	-0.077	93.000	92.000	232.296	649.479	180.006	142.519	153.062	5.177	0.360	0.000	-0.262	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	92.000	262.571	649.479	199.536	149.172	183.100	6.127	-0.831	-0.000	0.558	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	92.000	239.056	649.479	192.096	172.059	189.000	17.636	-0.195	-0.063	0.063	93.000	92.000	218.629	649.479	166.285	131.542	147.625	20.260	0.184	0.056	-0.122	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
93.000	94.000	93.000	287.977	652.507	184.102	154.586	172.933	2.754	0.195	0.000	-0.056	94.000	93.000	234.852	652.507	169.314	142.867	154.118	5.077	-0.100	0.003	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	93.000	253.244	652.507	189.482	149.000	181.600	5.500	-0.628	-0.000	0.791	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	93.000	247.881	652.507	191.562	177.182	209.778	17.785	0.149	-0.047	-0.142	94.000	93.000	223.457	652.507	167.182	137.864	143.167	20.677	0.417	0.056	-0.178	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
94.000	95.000	94.000	287.500	657.645	184.517	151.069	165.111	2.754	0.000	0.000	-0.057	95.000	94.000	222.536	657.645	172.057	141.296	148.450	5.413	0.336	0.064	-0.324	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	94.000	287.333	657.645	204.200	148.536	165.905	6.804	1.305	-0.000	-1.231	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	94.000	245.333	657.645	192.354	183.581	215.688	17.667	-0.119	-0.079	0.000	95.000	94.000	218.837	657.645	165.659	146.125	157.267	20.696	0.019	0.145	0.089	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
