dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)
1.000	2.000	1.000	498.581	749.374	250.257	171.406	235.636	11.265	-0.176	0.145	0.290	2.000	1.000	416.037	749.374	246.129	168.062	200.000	15.307	-0.081	-0.008	0.069	18.000	1.000	207.533	683.253	187.585	165.050	182.500	2.119	1.593	-0.114	-1.390
2.000	3.000	2.000	543.043	751.878	251.163	176.281	211.222	11.154	-0.111	0.290	0.461	3.000	2.000	339.074	751.878	237.054	190.562	235.136	14.833	-0.474	0.126	0.649	19.000	2.000	304.774	694.381	211.048	169.577	176.304	2.517	0.398	-0.536	-0.971
3.000	4.000	3.000	449.419	745.570	244.917	172.448	218.643	10.878	-0.276	0.205	0.375	4.000	3.000	370.407	745.570	239.466	180.452	231.786	14.680	-0.154	0.191	0.195	20.000	3.000	234.944	674.150	205.549	201.844	214.905	0.687	-1.829	-0.938	0.479
4.000	5.000	4.000	540.651	749.366	249.171	166.200	206.200	10.981	0.103	0.241	0.145	5.000	4.000	368.481	749.366	241.304	182.467	232.846	15.085	0.406	0.328	-0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.000	6.000	5.000	505.457	675.567	241.330	159.500	182.905	11.222	0.241	0.205	0.060	6.000	5.000	344.481	675.567	226.301	171.655	222.167	15.288	0.203	0.134	-0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.000	7.000	6.000	497.262	663.788	237.295	141.571	157.941	11.203	-0.019	0.266	0.253	7.000	6.000	337.259	663.788	228.829	167.100	199.923	15.548	0.260	0.324	0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.000	8.000	7.000	522.405	674.130	240.461	139.939	157.400	11.314	0.111	0.169	0.084	8.000	7.000	337.333	674.130	230.997	163.281	202.692	15.724	0.176	0.328	0.134	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.000	9.000	8.000	474.194	663.771	234.381	141.889	148.118	11.127	-0.187	0.169	0.290	9.000	8.000	328.926	663.771	231.433	165.828	204.786	15.857	0.133	0.324	0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.000	10.000	9.000	458.278	645.483	233.176	143.028	155.250	11.181	0.054	0.110	0.060	10.000	9.000	388.259	645.483	231.270	158.767	189.000	16.209	0.352	0.195	-0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10.000	11.000	10.000	448.857	632.719	220.474	134.390	145.957	11.441	0.260	0.085	-0.060	11.000	10.000	367.630	632.719	232.502	164.800	204.929	16.144	-0.065	0.195	0.260	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
