dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)	T (11)	dT (11)	Base Mean (11)	Body Mean (11)	Proj Mean (11)	Tip Mean (11)	Tip Th Mean (11)	Length (11)	dL (11)	DCTM (11)	DCBM (11)	T (12)	dT (12)	Base Mean (12)	Body Mean (12)	Proj Mean (12)	Tip Mean (12)	Tip Th Mean (12)	Length (12)	dL (12)	DCTM (12)	DCBM (12)	T (13)	dT (13)	Base Mean (13)	Body Mean (13)	Proj Mean (13)	Tip Mean (13)	Tip Th Mean (13)	Length (13)	dL (13)	DCTM (13)	DCBM (13)
-10.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.000	-10.000	228.475	542.017	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	-10.000	216.714	540.184	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	-10.000	152.368	496.753	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	-10.000	181.920	504.608	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	-10.000	134.233	510.702	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	-10.000	154.440	521.568	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	-10.000	288.769	529.364	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	-10.000	176.920	530.589	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000	-10.000	155.676	527.591	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-9.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.000	-9.000	221.143	542.731	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	-9.000	198.214	540.590	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	-9.000	147.529	487.146	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	-9.000	181.476	505.418	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	-9.000	131.333	508.120	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	-9.000	153.567	516.963	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	-9.000	276.750	526.747	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	-9.000	178.714	527.301	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.000	-9.000	160.667	533.072	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-8.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.000	-8.000	228.500	541.885	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	-8.000	211.323	544.548	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	-8.000	157.529	500.549	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	-8.000	185.000	509.357	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	-8.000	134.400	512.901	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	-8.000	159.960	522.684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	-8.000	244.765	534.756	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	-8.000	181.967	530.507	NaN	NaN	NaN	NaN	NaN	NaN	NaN	101.000	-8.000	175.136	539.001	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-7.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	-7.000	214.628	538.263	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	-7.000	201.923	543.952	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	-7.000	159.941	494.732	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	-7.000	183.400	510.702	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.000	-7.000	144.133	511.613	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	-7.000	160.520	521.669	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	-7.000	254.882	530.109	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	-7.000	191.000	531.643	NaN	NaN	NaN	NaN	NaN	NaN	NaN	102.000	-7.000	157.794	533.983	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-6.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	-6.000	231.349	540.032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	-6.000	213.848	503.998	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	-6.000	150.059	495.468	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	-6.000	162.821	508.120	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	-6.000	150.262	512.802	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	-6.000	159.800	519.038	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	-6.000	247.471	530.589	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	-6.000	191.897	530.001	NaN	NaN	NaN	NaN	NaN	NaN	NaN	103.000	-6.000	154.694	532.855	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-5.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	-5.000	224.659	542.162	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	-5.000	216.886	543.740	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	-5.000	152.476	491.834	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	-5.000	165.233	512.901	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	-5.000	144.341	513.180	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	-5.000	162.267	524.451	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	-5.000	237.235	527.301	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	-5.000	272.906	534.947	NaN	NaN	NaN	NaN	NaN	NaN	NaN	104.000	-5.000	187.967	528.520	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-4.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-4.000	242.350	542.888	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	-4.000	232.900	506.725	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	-4.000	161.353	495.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.000	-4.000	149.714	511.613	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	-4.000	153.595	516.956	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	-4.000	158.267	526.086	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	-4.000	235.889	530.507	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	-4.000	279.645	529.229	NaN	NaN	NaN	NaN	NaN	NaN	NaN	105.000	-4.000	187.842	532.572	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-3.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	-3.000	235.919	544.540	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	-3.000	262.033	506.549	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	-3.000	157.941	494.862	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	-3.000	148.344	512.802	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	-3.000	144.000	515.319	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.000	-3.000	155.767	525.165	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	-3.000	244.619	531.643	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	-3.000	300.121	529.649	NaN	NaN	NaN	NaN	NaN	NaN	NaN	106.000	-3.000	180.421	529.046	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-2.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-2.000	238.917	544.370	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	-2.000	247.267	506.702	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	-2.000	150.176	496.183	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	-2.000	152.219	513.180	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000	-2.000	144.657	521.442	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000	-2.000	162.765	527.355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	-2.000	229.130	530.001	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	-2.000	168.714	525.550	NaN	NaN	NaN	NaN	NaN	NaN	NaN	107.000	-2.000	168.733	533.111	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-1.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-1.000	233.600	547.085	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	-1.000	219.571	504.542	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	-1.000	149.294	496.224	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	-1.000	149.212	516.956	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	-1.000	149.545	518.709	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	-1.000	162.125	529.364	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	-1.000	221.462	534.947	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	-1.000	159.640	526.773	NaN	NaN	NaN	NaN	NaN	NaN	NaN	108.000	-1.000	173.722	535.802	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.000	1.000	0.000	157.065	542.557	140.717	133.957	141.235	1.312	0.000	NaN	NaN	1.000	0.000	154.100	542.557	132.846	119.400	122.625	4.515	0.000	NaN	NaN	1.000	0.000	231.000	542.557	162.591	134.844	149.048	4.153	0.000	NaN	NaN	1.000	0.000	215.037	542.557	134.697	116.348	126.833	7.980	0.000	NaN	NaN	1.000	0.000	160.109	542.557	136.108	125.350	134.111	11.120	0.000	NaN	NaN	13.000	0.000	233.211	546.576	196.500	189.346	233.300	0.782	0.782	NaN	NaN	29.000	0.000	204.815	502.310	189.048	188.833	196.455	0.540	0.540	NaN	NaN	45.000	0.000	147.727	491.360	140.543	141.250	152.440	0.939	0.939	NaN	NaN	63.000	0.000	147.714	515.319	133.500	133.500	144.000	0.257	0.257	NaN	NaN	66.000	0.000	143.636	520.701	129.989	125.760	137.636	1.632	1.632	NaN	NaN	82.000	0.000	159.583	526.747	142.000	142.000	156.000	0.322	0.322	NaN	NaN	91.000	0.000	220.536	529.229	181.333	181.333	186.545	0.429	0.429	NaN	NaN	95.000	0.000	166.625	528.542	166.625	166.625	182.667	0.460	0.460	NaN	NaN	109.000	0.000	160.400	534.659	143.464	137.536	144.000	2.650	2.650	NaN	NaN
1.000	2.000	1.000	178.276	542.566	149.847	135.565	145.692	1.745	0.433	-0.047	-0.368	2.000	1.000	164.833	542.566	134.479	127.955	136.231	4.948	0.433	0.000	-0.389	2.000	1.000	211.143	542.566	157.650	130.500	139.133	4.134	-0.019	0.203	0.192	2.000	1.000	205.852	542.566	132.489	120.333	124.933	8.183	0.203	0.065	-0.065	2.000	1.000	167.275	542.566	133.152	123.143	128.933	11.128	0.008	0.037	-0.037	14.000	1.000	236.944	545.523	187.231	178.400	204.000	0.890	0.108	0.144	-0.106	30.000	1.000	196.926	499.874	183.212	182.481	191.444	0.590	0.050	0.221	0.126	46.000	1.000	146.242	494.257	143.069	143.174	150.789	0.633	-0.306	0.156	0.156	64.000	1.000	155.759	521.442	147.000	147.000	156.909	0.479	0.222	-0.047	-0.173	67.000	1.000	146.419	517.963	NaN	NaN	NaN	NaN	NaN	0.000	0.000	83.000	1.000	212.222	534.756	166.023	158.286	179.571	0.993	0.672	-0.026	-0.554	92.000	1.000	263.720	529.649	206.535	200.179	252.933	0.947	0.518	0.058	-0.174	96.000	1.000	169.758	530.505	172.837	172.320	179.381	0.882	0.422	-0.086	-0.554	110.000	1.000	149.821	532.731	140.332	135.586	147.333	2.198	-0.452	0.000	0.309
2.000	3.000	2.000	260.773	542.017	161.763	137.000	143.235	2.250	0.506	0.047	-0.596	3.000	2.000	284.483	542.017	146.691	124.269	132.118	5.894	0.946	0.055	-0.862	3.000	2.000	195.733	542.017	155.841	132.069	150.000	4.061	-0.073	0.191	0.243	3.000	2.000	220.333	542.017	135.287	120.056	130.222	8.722	0.539	0.326	-0.260	3.000	2.000	162.024	542.017	133.336	121.636	126.588	11.193	0.065	0.144	0.090	15.000	2.000	233.306	544.647	183.233	173.129	193.600	0.963	0.073	0.145	0.090	31.000	2.000	219.704	499.817	190.951	178.971	196.500	0.856	0.266	0.200	-0.200	47.000	2.000	155.592	495.911	NaN	NaN	NaN	NaN	NaN	0.000	0.000	65.000	2.000	203.306	518.709	169.152	145.577	169.333	1.697	1.219	-0.127	-1.211	68.000	2.000	142.697	523.225	135.772	136.154	144.882	1.865	1.865	0.000	0.000	84.000	2.000	189.074	530.109	156.344	151.800	164.688	0.577	-0.417	0.116	0.320	93.000	2.000	272.860	525.550	200.827	192.938	241.929	0.974	0.027	0.234	0.145	97.000	2.000	180.128	523.256	173.774	167.154	186.375	1.659	0.777	0.327	-0.350	111.000	2.000	160.000	526.529	145.248	139.414	146.833	2.474	0.276	0.076	-0.128
3.000	4.000	3.000	205.690	542.731	154.750	140.167	152.000	1.993	-0.257	-0.047	0.320	4.000	3.000	185.484	542.731	137.230	124.364	132.667	5.270	-0.624	-0.020	0.593	4.000	3.000	190.576	542.731	153.175	134.000	145.333	4.413	0.352	0.256	0.011	4.000	3.000	194.815	542.731	133.376	116.280	132.286	8.814	0.092	0.130	0.065	4.000	3.000	160.023	542.731	133.906	120.095	131.125	11.193	0.000	0.000	0.000	16.000	3.000	238.091	543.715	183.169	168.185	178.417	1.047	0.084	0.131	-0.000	32.000	3.000	203.148	496.534	191.203	183.156	197.389	0.772	-0.084	0.065	0.130	48.000	3.000	167.583	499.117	150.883	142.375	153.947	1.721	1.721	0.000	0.000	66.000	3.000	197.242	520.701	166.177	147.444	165.615	1.567	-0.130	-0.074	0.000	69.000	3.000	145.194	522.506	135.269	132.640	146.273	1.792	-0.073	-0.128	0.000	85.000	3.000	181.444	530.589	159.778	159.412	206.200	0.587	0.010	-0.054	0.144	94.000	3.000	246.935	526.773	189.979	178.000	208.357	1.012	0.038	0.198	0.252	98.000	3.000	182.559	526.921	172.860	175.120	186.267	1.816	0.157	0.141	0.513	112.000	3.000	155.448	523.950	142.442	136.750	144.826	2.355	-0.119	0.128	0.191
4.000	5.000	4.000	182.897	541.885	152.493	140.478	148.824	1.745	-0.249	0.000	0.276	5.000	4.000	175.903	541.885	137.359	123.571	130.818	4.883	-0.387	-0.089	0.268	5.000	4.000	196.139	541.885	150.535	131.233	143.400	4.516	0.103	0.139	0.064	5.000	4.000	209.185	541.885	136.771	119.045	127.455	9.028	0.214	0.065	-0.130	5.000	4.000	150.651	541.885	129.381	122.870	137.571	10.787	-0.406	-0.090	0.288	17.000	4.000	250.821	538.928	182.038	160.500	175.500	1.434	0.387	0.131	-0.194	33.000	4.000	242.963	501.410	200.500	175.364	190.286	1.311	0.539	0.144	-0.387	49.000	4.000	177.089	499.948	153.818	139.630	149.786	2.513	0.793	-0.175	-0.856	67.000	4.000	202.057	517.963	166.240	147.654	158.786	1.735	0.168	-0.064	-0.193	70.000	4.000	143.921	521.013	134.106	132.654	139.722	1.773	-0.019	-0.064	-0.056	86.000	4.000	173.148	527.301	151.077	151.077	184.833	0.571	-0.016	0.000	0.046	95.000	4.000	205.875	528.542	164.912	158.542	173.235	0.707	-0.306	0.270	0.270	99.000	4.000	180.850	527.591	176.871	175.115	187.000	2.187	0.371	0.128	-0.064	113.000	4.000	157.294	522.987	141.904	135.960	150.250	2.401	0.046	0.047	-0.047
5.000	6.000	5.000	177.138	538.263	146.806	137.345	146.688	1.496	-0.249	0.000	0.184	6.000	5.000	168.966	538.263	134.940	123.095	128.529	4.753	-0.130	0.089	0.178	6.000	5.000	185.071	538.263	149.825	133.593	149.333	4.573	0.057	0.128	0.139	6.000	5.000	189.148	538.263	133.818	129.538	149.167	8.007	-1.021	-0.454	0.519	6.000	5.000	158.381	538.263	130.837	125.250	136.500	10.944	0.157	-0.144	-0.288	18.000	5.000	252.333	537.096	182.133	158.548	167.500	1.656	0.222	0.091	-0.052	34.000	5.000	205.000	492.879	188.057	176.517	194.350	0.810	-0.501	-0.129	0.395	50.000	5.000	179.065	502.444	160.459	140.714	152.833	2.705	0.192	-0.275	-0.482	68.000	5.000	199.719	523.225	163.520	141.320	150.882	1.697	-0.038	0.000	-0.012	71.000	5.000	142.333	520.220	135.980	130.846	142.000	1.578	-0.195	-0.064	-0.064	87.000	5.000	172.095	530.507	144.762	144.762	172.556	0.457	-0.114	0.143	0.000	96.000	5.000	232.553	530.505	167.079	151.609	162.400	1.093	0.387	0.131	-0.143	100.000	5.000	190.652	533.072	175.470	170.400	180.444	2.317	0.130	-0.064	-0.193	114.000	5.000	156.056	530.443	145.060	136.500	146.625	2.355	-0.046	0.077	0.027
6.000	7.000	6.000	204.407	540.032	155.414	142.045	155.778	1.718	0.222	0.046	-0.184	7.000	6.000	193.000	540.032	140.950	123.905	130.368	4.994	0.241	-0.089	-0.258	7.000	6.000	168.567	540.032	145.046	132.467	144.000	4.405	-0.168	0.322	0.331	7.000	6.000	208.481	540.032	135.427	126.379	138.545	7.972	-0.035	-0.194	-0.196	7.000	6.000	156.767	540.032	132.974	123.762	131.545	10.760	-0.184	-0.090	0.090	19.000	6.000	251.667	540.184	179.036	155.100	165.150	1.664	0.008	0.128	-0.016	35.000	6.000	199.444	496.753	184.871	177.607	187.478	0.745	-0.065	0.000	0.064	51.000	6.000	189.116	503.062	160.326	137.571	148.812	2.705	0.000	-0.106	-0.159	69.000	6.000	203.057	522.506	169.435	144.520	162.778	1.938	0.241	0.000	-0.192	72.000	6.000	139.667	521.568	135.247	134.481	143.278	1.410	-0.168	-0.064	0.128	88.000	6.000	167.444	531.643	145.800	141.593	164.400	0.622	0.165	0.058	-0.058	97.000	6.000	229.829	523.256	158.377	144.185	154.538	1.269	0.176	0.209	0.000	101.000	6.000	180.960	539.001	173.994	172.296	184.308	2.030	-0.287	0.081	-0.449	115.000	6.000	182.741	534.226	145.494	137.040	146.571	2.512	0.157	-0.091	-0.028
7.000	8.000	7.000	188.667	542.162	157.469	143.714	156.308	1.634	-0.084	-0.044	0.092	8.000	7.000	189.912	542.162	138.817	126.364	132.308	4.902	-0.092	0.000	0.088	8.000	7.000	162.077	542.162	145.666	135.962	147.786	4.546	0.141	0.064	0.000	8.000	7.000	197.185	542.162	136.465	124.852	136.188	7.915	-0.057	0.000	0.065	8.000	7.000	161.804	542.162	133.647	120.364	126.000	11.001	0.241	-0.036	-0.198	20.000	7.000	273.282	540.590	184.291	149.538	158.750	1.978	0.314	0.040	-0.183	36.000	7.000	232.286	487.146	NaN	NaN	NaN	NaN	NaN	0.000	0.000	52.000	7.000	187.279	506.465	153.410	132.680	141.667	2.800	0.095	-0.124	-0.200	70.000	7.000	184.906	521.013	164.569	138.185	145.409	1.697	-0.241	0.000	0.138	73.000	7.000	132.810	516.963	129.556	129.556	132.125	0.318	-1.092	0.123	1.151	89.000	7.000	162.458	530.001	144.308	140.440	151.375	0.642	0.019	0.179	0.119	98.000	7.000	236.111	526.921	160.989	145.960	158.500	1.510	0.241	0.090	-0.070	102.000	7.000	190.393	533.983	177.799	167.600	184.417	2.179	0.149	0.064	0.564	116.000	7.000	186.267	529.787	NaN	NaN	NaN	NaN	NaN	0.000	0.000
8.000	9.000	8.000	186.069	542.888	154.974	145.042	153.467	1.469	-0.165	0.048	0.136	9.000	8.000	181.412	542.888	138.143	124.952	128.158	4.699	-0.203	-0.031	0.145	9.000	8.000	153.114	542.888	144.843	133.036	141.294	4.738	0.192	0.267	0.193	9.000	8.000	193.259	542.888	137.360	122.778	132.800	7.915	0.000	0.000	0.000	9.000	8.000	155.846	542.888	131.962	118.727	124.250	10.373	-0.628	-0.234	0.288	21.000	8.000	265.894	544.548	179.016	148.552	164.786	2.265	0.287	0.142	-0.041	37.000	8.000	224.037	500.549	193.258	175.824	193.857	1.364	1.364	0.000	0.000	53.000	8.000	202.419	504.608	156.895	134.565	149.778	2.995	0.195	-0.003	-0.203	71.000	8.000	191.690	520.220	165.688	143.714	158.750	1.559	-0.138	-0.065	0.006	74.000	8.000	146.476	522.684	137.311	135.222	144.615	1.525	1.206	-0.194	-1.430	90.000	8.000	164.733	534.947	142.227	135.652	145.812	0.837	0.195	0.164	0.041	99.000	8.000	252.378	527.591	166.045	139.000	147.571	1.694	0.184	0.057	-0.115	103.000	8.000	201.931	532.855	177.623	167.760	180.429	2.420	0.241	0.076	-0.791	117.000	8.000	174.750	531.720	145.423	138.786	149.053	2.141	2.141	0.000	0.000
9.000	10.000	9.000	215.788	544.540	158.804	138.875	157.429	1.653	0.184	-0.092	-0.230	10.000	9.000	202.419	544.540	139.188	123.750	131.625	4.967	0.268	0.089	-0.177	10.000	9.000	161.400	544.540	144.016	130.000	141.071	4.868	0.130	0.193	0.064	10.000	9.000	210.519	544.540	136.530	121.655	128.850	7.893	-0.022	-0.065	0.065	10.000	9.000	154.111	544.540	133.679	120.773	128.667	10.588	0.214	-0.090	-0.199	22.000	9.000	276.289	543.952	183.298	146.148	156.300	2.364	0.100	-0.000	-0.142	38.000	9.000	255.793	494.732	198.863	167.167	187.000	1.716	0.352	0.076	-0.320	54.000	9.000	186.241	505.418	151.971	134.444	143.158	2.414	-0.582	-0.116	0.349	72.000	9.000	181.355	521.568	162.304	144.071	152.059	1.448	-0.111	-0.065	0.068	75.000	9.000	151.619	521.669	136.644	132.333	143.071	1.617	0.092	0.065	0.000	91.000	9.000	158.208	529.229	139.237	138.269	145.333	0.642	-0.195	0.119	0.239	100.000	9.000	264.319	533.072	173.000	136.778	145.667	2.027	0.333	0.145	-0.117	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	118.000	9.000	177.542	534.975	155.259	139.571	145.455	1.808	-0.333	-0.205	0.107
