 	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)
18	-3.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.000	234.000	378.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
19	-2.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.000	233.000	378.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
20	-1.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	233.000	373.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
21	0.000	23.660	21.060	23.335	18.785	2.685	2.298	2.219	5.957	NaN	NaN	NaN	0.000	15.340	22.620	12.285	22.295	8.071	3.072	3.071	24.784	NaN	NaN	NaN	0.000	15.795	24.245	13.780	23.270	7.558	2.238	1.943	14.686	NaN	NaN	NaN	0.000	16.445	25.480	15.925	25.740	7.110	0.581	0.568	4.039	NaN	NaN	NaN	7.000	15.470	24.440	15.470	24.570	7.071	0.130	0.016	0.110	0.016	NaN	NaN
22	1.000	23.660	21.060	23.335	18.785	2.742	2.298	2.234	6.126	0.015	NaN	NaN	1.000	15.405	22.555	12.350	22.295	8.090	3.066	3.059	24.746	-0.012	-0.065	-0.059	1.000	15.730	24.115	14.040	23.205	7.677	1.919	1.650	12.667	-0.293	-0.198	0.119	1.000	16.445	25.480	15.925	25.675	7.157	0.555	0.551	3.946	-0.017	-0.023	NaN	8.000	15.600	24.440	15.730	24.570	6.950	0.184	-0.112	-0.777	-0.127	0.184	0.092
23	2.000	23.660	21.125	23.335	18.785	2.678	2.362	2.297	6.152	0.063	NaN	-0.064	2.000	15.405	22.555	12.220	22.165	8.090	3.209	3.207	25.946	0.148	0.145	NaN	2.000	15.860	24.115	14.040	23.075	7.547	2.096	1.774	13.385	0.124	0.064	-0.113	2.000	16.185	25.545	15.795	25.675	7.425	0.411	0.410	3.042	-0.142	0.123	0.267	9.000	233.000	374.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
24	3.000	23.660	20.995	23.335	18.785	2.742	2.234	2.169	5.949	-0.128	NaN	0.129	3.000	15.470	22.555	12.220	22.165	8.016	3.273	3.272	26.229	0.065	NaN	-0.065	3.000	15.860	24.180	14.170	23.010	7.554	2.055	1.616	12.210	-0.157	-0.070	-0.037	3.000	16.120	25.415	15.665	25.610	7.474	0.495	0.487	3.642	0.078	0.094	0.009	10.000	15.600	24.375	13.780	22.945	7.710	2.315	1.666	12.844	1.666	NaN	NaN
25	4.000	23.660	21.060	23.335	18.850	2.678	2.234	2.168	5.805	-0.001	-0.064	-0.064	4.000	15.600	22.490	12.090	22.100	7.897	3.532	3.528	27.860	0.256	0.136	-0.122	4.000	15.990	24.115	14.040	22.945	7.420	2.274	1.886	13.993	0.269	0.145	-0.078	4.000	15.600	25.480	15.340	25.610	7.995	0.291	0.282	2.256	-0.205	0.291	0.494	11.000	15.860	24.505	13.845	22.880	7.401	2.589	1.800	13.321	0.134	-0.010	-0.284
26	5.000	23.660	20.670	23.335	18.785	2.960	1.913	1.813	5.366	-0.355	0.064	0.384	5.000	15.340	22.425	11.895	22.035	7.952	3.467	3.465	27.551	-0.063	0.201	0.266	5.000	16.055	24.180	14.040	22.880	7.174	2.398	1.902	13.647	0.016	0.035	-0.090	5.000	15.340	25.545	15.210	25.740	8.103	0.234	0.173	1.403	-0.109	0.180	0.198	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
27	6.000	23.595	20.670	23.335	18.720	3.083	1.967	1.768	5.450	-0.045	0.064	0.009	6.000	13.845	22.425	11.830	21.840	8.853	2.098	2.075	18.366	-1.390	0.117	1.436	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	15.470	25.480	14.820	25.675	7.394	0.679	0.678	5.015	0.505	0.355	-0.143	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
28	7.000	23.595	20.605	23.335	18.720	3.188	1.903	1.678	5.349	-0.090	NaN	0.064	7.000	13.780	22.425	11.570	21.775	8.788	2.304	2.277	20.010	0.202	0.268	0.062	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	15.535	25.480	14.365	25.675	7.206	1.186	1.180	8.505	0.502	0.449	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
29	8.000	23.595	20.540	23.335	18.655	3.188	1.903	1.678	5.349	2.220E-16	0.064	0.064	8.000	13.650	22.425	11.440	21.775	8.909	2.304	2.274	20.255	-0.003	0.125	0.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	15.470	25.415	14.170	25.740	7.269	1.340	1.340	9.739	0.160	0.205	0.047	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
30	9.000	23.595	20.475	23.335	18.655	3.249	1.838	1.623	5.273	-0.055	NaN	0.064	9.000	13.585	22.425	11.245	21.775	8.973	2.429	2.402	21.556	0.129	0.188	0.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	15.600	25.415	13.910	25.740	7.143	1.721	1.716	12.257	0.376	0.255	-0.128	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
31	10.000	23.595	20.605	23.335	18.720	3.008	1.903	1.846	5.552	0.223	-0.064	-0.129	10.000	15.210	22.425	11.115	21.710	8.144	4.157	4.155	33.842	1.753	0.139	-1.601	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	15.665	25.350	13.520	25.805	7.805	2.193	2.192	17.111	0.477	0.395	-0.077	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
32	11.000	23.595	20.670	23.270	18.720	2.951	1.977	1.890	5.577	0.044	0.011	-0.064	11.000	15.015	22.425	10.985	21.645	8.273	4.105	4.100	33.918	-0.055	0.140	0.191	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	15.535	25.285	13.065	25.805	7.854	2.524	2.524	19.824	0.332	0.445	0.114	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
33	12.000	23.595	20.735	23.335	18.720	3.066	2.032	1.786	5.476	-0.104	-0.008	-0.064	12.000	13.910	22.425	10.855	21.580	8.659	3.170	3.141	27.201	-0.959	0.143	1.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	15.665	25.090	12.805	25.805	6.987	2.948	2.947	20.588	0.423	0.252	-0.173	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
34	13.000	23.595	20.540	23.335	18.720	3.127	1.838	1.611	5.036	-0.175	NaN	0.193	13.000	13.715	22.490	10.855	21.450	8.829	3.043	2.957	26.111	-0.184	0.044	0.161	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	15.665	25.090	12.675	25.805	7.016	3.074	3.074	21.569	0.128	0.126	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
35	14.000	23.530	20.540	23.335	18.785	3.127	1.766	1.573	4.918	-0.038	-0.065	0.007	14.000	13.780	22.490	10.790	21.450	8.700	3.166	3.088	26.863	0.130	0.061	-0.061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	15.665	25.090	12.480	25.805	6.953	3.264	3.264	22.692	0.190	0.190	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
36	15.000	23.530	20.280	23.335	18.785	3.271	1.508	1.326	4.339	-0.246	NaN	0.258	15.000	13.390	22.425	10.660	21.450	9.016	2.899	2.814	25.375	-0.273	0.122	0.389	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	15.535	25.155	12.545	25.740	7.063	3.047	3.040	21.471	-0.224	-0.076	0.140	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
37	16.000	23.595	20.670	23.335	18.785	3.083	1.903	1.600	4.931	0.273	NaN	-0.395	16.000	13.260	22.360	10.790	21.580	9.102	2.590	2.546	23.178	-0.268	-0.163	0.144	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	15.535	25.090	12.545	25.675	6.953	3.047	3.044	21.163	0.004	-0.012	-0.012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
38	17.000	23.595	20.735	23.335	18.785	3.024	1.967	1.649	4.986	0.049	NaN	-0.064	17.000	13.260	22.425	10.920	21.515	9.095	2.511	2.429	22.088	-0.118	-0.098	-0.024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	15.470	25.155	12.675	25.610	7.031	2.832	2.822	19.845	-0.221	-0.139	0.075	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
39	18.000	23.595	20.605	23.335	18.720	3.083	1.903	1.600	4.931	-0.049	0.064	0.129	18.000	13.260	22.490	11.050	21.580	9.081	2.390	2.290	20.795	-0.139	-0.145	-0.025	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	15.470	25.155	12.805	25.545	7.047	2.693	2.678	18.873	-0.144	-0.138	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
40	19.000	23.595	20.670	23.335	18.785	3.024	1.903	1.590	4.808	-0.009	-0.064	-0.064	19.000	13.195	22.425	11.050	21.645	9.152	2.282	2.216	20.280	-0.074	-0.022	0.083	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	15.535	25.090	12.870	25.480	6.968	2.693	2.680	18.675	0.002	-0.074	-0.074	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
41	20.000	23.595	20.605	23.335	18.785	2.758	1.838	1.765	4.867	0.175	NaN	0.064	20.000	15.015	22.360	11.440	21.970	8.248	3.596	3.596	29.660	1.380	-0.423	-1.802	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	15.470	25.155	12.935	25.480	7.946	2.556	2.542	20.200	-0.138	-0.064	0.073	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
42	21.000	23.530	20.540	23.335	18.785	3.056	1.766	1.526	4.664	-0.238	NaN	0.072	21.000	13.260	22.490	11.635	22.165	9.074	1.657	1.648	14.957	-1.948	-0.229	1.695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	15.015	25.350	12.805	25.545	7.554	2.219	2.182	16.482	-0.360	0.135	0.470	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
43	22.000	23.595	20.605	23.400	19.045	2.768	1.572	1.507	4.170	-0.020	-0.266	-0.073	22.000	15.340	22.555	11.635	22.165	7.839	3.725	3.725	29.203	2.077	NaN	-2.075	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	15.145	25.350	13.715	25.415	8.245	1.431	1.403	11.564	-0.779	-0.915	-0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
44	23.000	23.595	20.670	23.400	18.980	2.907	1.701	1.424	4.141	-0.082	0.065	-0.065	23.000	13.195	22.555	11.765	22.750	9.128	1.443	1.410	12.874	-2.315	-0.050	2.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	15.080	25.415	14.170	25.350	7.527	0.912	0.854	6.426	-0.549	-0.449	0.060	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
45	24.000	23.595	20.800	23.400	18.980	2.849	1.830	1.530	4.360	0.106	NaN	-0.129	24.000	13.195	22.620	11.765	23.010	9.128	1.482	1.395	12.734	-0.015	0.068	0.017	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	15.145	25.415	14.625	25.285	7.446	0.536	0.463	3.448	-0.391	-0.426	-0.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
46	25.000	23.530	20.540	23.400	19.045	2.996	1.501	1.309	3.921	-0.222	-0.065	0.265	25.000	13.195	22.685	11.700	23.075	9.119	1.545	1.467	13.376	0.072	0.079	0.016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	15.340	25.285	14.690	25.350	7.241	0.653	0.642	4.652	0.179	-0.058	-0.207	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
47	26.000	23.595	20.670	23.400	19.240	2.937	1.443	1.175	3.452	-0.133	-0.193	-0.138	26.000	13.130	22.750	11.570	23.010	9.115	1.582	1.543	14.061	0.076	0.118	0.075	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	15.405	25.090	14.690	25.220	7.063	0.727	0.724	5.116	0.082	-0.023	-0.099	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
48	27.000	23.530	20.605	23.465	19.695	2.996	0.912	0.802	2.404	-0.373	-0.458	0.069	27.000	13.195	22.815	11.570	23.010	9.115	1.637	1.611	14.686	0.069	NaN	-0.057	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	15.405	24.960	14.625	25.220	7.079	0.822	0.819	5.797	0.095	0.062	-0.041	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
49	28.000	23.465	19.955	23.530	19.825	3.271	0.145	0.145	0.473	-0.658	-0.087	0.552	28.000	13.195	22.750	11.440	22.685	9.104	1.756	1.756	15.987	0.145	0.142	0.002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	15.600	24.765	14.690	25.155	6.921	0.990	0.979	6.777	0.160	-0.085	-0.256	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
50	29.000	23.465	20.085	23.530	19.890	3.235	0.206	0.205	0.663	0.060	-0.062	-0.123	29.000	13.130	22.750	11.375	22.880	9.106	1.760	1.749	15.928	-0.007	0.079	0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	15.535	24.960	14.690	25.285	6.955	0.905	0.901	6.270	-0.078	0.047	0.131	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
