dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)
-10.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	-10.000	212.917	340.945	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	-10.000	184.600	342.643	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	-10.000	261.058	342.643	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	-10.000	260.455	342.339	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	-10.000	235.429	350.438	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-9.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	-9.000	246.680	338.458	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	-9.000	178.588	343.850	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	-9.000	221.768	343.850	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	-9.000	234.091	345.058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	-9.000	228.737	350.097	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-8.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	-8.000	221.080	339.338	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	-8.000	193.629	341.516	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	-8.000	218.667	341.516	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	-8.000	193.324	340.093	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	-8.000	197.600	349.940	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-7.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	-7.000	249.756	339.403	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	-7.000	211.969	342.625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	-7.000	222.703	342.625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	-7.000	227.630	340.232	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	-7.000	200.692	346.178	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-6.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	-6.000	246.604	342.166	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	-6.000	225.148	346.193	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	-6.000	227.588	346.193	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	-6.000	174.818	332.806	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	-6.000	193.923	344.583	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-5.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	-5.000	250.644	341.100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	-5.000	203.644	341.310	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	-5.000	222.588	341.310	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	-5.000	181.944	326.522	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	-5.000	245.950	344.725	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-4.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	-4.000	231.556	342.643	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	-4.000	230.469	342.339	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	-4.000	233.147	342.339	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	-4.000	196.333	331.101	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	-4.000	215.143	342.313	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-3.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000	-3.000	166.316	359.995	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	-3.000	234.942	343.850	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	-3.000	209.590	345.058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	-3.000	218.441	345.058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	-3.000	195.179	339.917	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	-3.000	223.690	345.146	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-2.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.000	-2.000	177.154	355.998	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	-2.000	236.667	341.516	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	-2.000	204.897	340.093	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	-2.000	212.714	340.093	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	-2.000	218.533	342.726	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	-2.000	240.067	343.304	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-1.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.000	-1.000	166.769	356.643	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	-1.000	236.698	342.625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	-1.000	191.600	340.232	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	-1.000	192.129	340.232	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	-1.000	190.424	339.841	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	-1.000	252.077	342.069	NaN	NaN	NaN	NaN	NaN	NaN	NaN
