T	X	Y	Mean	StdDev
1.000	43.875	47.125	454.439	176.696
2.000	43.875	47.125	436.522	168.420
3.000	44.265	47.060	437.528	164.538
4.000	44.135	47.190	441.162	166.508
5.000	44.135	47.125	440.721	167.455
6.000	44.070	47.125	447.132	164.221
7.000	44.005	47.060	450.212	161.491
8.000	44.200	47.060	447.912	164.545
9.000	44.330	47.190	448.944	164.566
10.000	44.395	47.190	449.335	163.967
11.000	44.395	47.190	448.810	163.546
12.000	43.550	47.190	444.918	163.977
13.000	44.135	47.190	442.597	162.646
14.000	44.330	47.190	444.550	161.320
15.000	44.525	47.190	443.377	161.301
16.000	43.810	47.190	441.283	162.826
17.000	43.810	47.125	437.860	161.549
18.000	44.005	47.060	438.202	161.804
19.000	44.200	46.995	441.202	162.751
20.000	44.265	46.995	439.277	161.622
21.000	44.265	47.125	442.096	161.513
22.000	44.200	47.125	443.148	159.837
23.000	44.135	47.255	441.638	159.129
24.000	44.200	47.190	441.622	160.376
25.000	44.070	47.255	443.606	162.890
26.000	44.070	47.255	441.813	160.813
27.000	44.005	47.255	439.324	163.325
28.000	44.005	47.255	439.346	161.951
29.000	43.940	47.255	440.991	162.928
30.000	44.005	47.255	443.654	165.584
31.000	44.070	47.190	443.953	166.653
32.000	44.070	47.190	443.949	164.063
33.000	44.005	47.190	445.310	166.268
34.000	44.005	47.190	446.030	167.180
35.000	44.005	47.190	446.915	167.890
36.000	44.005	47.190	446.519	166.656
37.000	44.005	47.125	451.945	168.382
38.000	44.070	47.125	451.911	167.315
39.000	44.135	47.255	454.171	166.948
40.000	44.135	47.255	452.492	164.464
41.000	44.135	47.255	455.156	165.557
42.000	44.070	47.385	453.587	165.047
43.000	44.135	47.385	453.577	164.897
44.000	43.940	47.385	452.483	164.402
45.000	43.875	47.450	452.876	165.849
46.000	43.680	47.450	454.228	165.062
47.000	43.680	47.450	454.775	165.548
48.000	43.875	47.515	458.103	163.960
49.000	43.875	47.450	455.374	161.499
50.000	43.940	47.450	456.717	161.789
51.000	44.070	47.450	461.112	164.446
52.000	44.135	47.385	461.886	163.185
53.000	44.135	47.450	463.641	165.272
54.000	44.200	47.450	466.464	164.828
55.000	44.200	47.450	467.687	165.587
56.000	44.200	47.450	467.523	166.807
57.000	44.200	47.385	470.796	165.516
58.000	44.200	47.320	472.578	166.723
59.000	44.135	47.320	471.344	166.607
60.000	44.200	47.320	472.437	167.806
61.000	44.135	47.385	471.648	167.776
62.000	44.070	47.385	472.353	167.072
63.000	44.135	47.320	472.630	167.957
64.000	44.200	47.385	474.740	164.090
65.000	44.135	47.385	474.898	161.982
66.000	44.135	47.385	476.892	162.978
67.000	44.135	47.450	474.578	162.721
68.000	44.135	47.450	472.838	161.343
69.000	44.070	47.450	473.928	160.276
70.000	44.135	47.450	476.879	158.799
71.000	44.135	47.515	473.125	158.774
72.000	44.135	47.515	474.018	156.173
73.000	44.200	47.450	474.253	154.159
74.000	44.200	47.515	477.189	155.427
75.000	44.070	47.515	476.494	156.002
76.000	44.200	47.450	478.515	155.145
77.000	44.200	47.515	478.207	155.121
78.000	44.265	47.515	476.183	155.932
79.000	44.200	47.450	473.429	155.296
80.000	44.200	47.515	475.815	154.955
81.000	44.200	47.515	474.181	156.048
82.000	44.200	47.515	475.143	156.950
83.000	44.200	47.580	477.214	156.210
84.000	44.265	47.450	475.683	158.125
85.000	44.200	47.515	475.446	158.196
86.000	44.200	47.580	474.071	158.852
87.000	44.200	47.515	476.113	158.576
88.000	43.940	47.580	475.967	161.085
89.000	44.200	47.515	481.118	159.949
90.000	44.135	47.580	478.567	159.233
91.000	44.070	47.515	478.006	158.911
92.000	44.070	47.580	476.749	158.051
93.000	43.485	47.515	471.584	162.734
94.000	43.485	47.580	471.893	164.258
95.000	43.485	47.450	470.521	162.532
96.000	43.875	47.515	469.709	161.385
97.000	43.420	47.515	470.661	162.376
98.000	43.810	47.580	471.140	161.283
99.000	43.810	47.515	472.296	160.210
100.000	43.615	47.515	470.638	158.489
101.000	43.745	47.515	471.011	155.362
102.000	43.940	47.515	470.314	152.488
103.000	44.135	47.580	469.528	149.253
104.000	43.550	47.580	463.427	148.526
105.000	44.135	47.515	466.520	147.720
106.000	43.745	47.515	465.686	146.768
107.000	44.200	47.580	464.107	144.779
108.000	44.070	47.580	463.165	144.277
109.000	43.875	47.645	459.819	143.465
110.000	44.005	47.645	460.414	143.654
111.000	44.005	47.580	464.118	144.064
112.000	44.070	47.580	461.055	145.160
113.000	44.070	47.580	460.739	144.740
114.000	43.875	47.580	459.012	146.735
115.000	43.940	47.515	459.775	145.848
116.000	44.070	47.580	460.564	147.345
117.000	44.200	47.580	461.306	146.237
118.000	44.135	47.580	461.045	147.438
119.000	44.135	47.645	458.207	147.137
120.000	44.200	47.580	458.869	146.805
121.000	44.200	47.580	458.125	147.570
