T	X	Y	Mean	StdDev
1.000	22.230	15.730	270.241	74.479
2.000	22.165	15.340	274.064	75.694
3.000	22.100	16.120	267.990	75.662
4.000	22.165	15.990	271.226	77.001
5.000	22.360	13.780	280.012	73.384
6.000	22.360	15.340	275.278	77.581
7.000	21.970	15.145	278.887	81.601
8.000	21.905	15.015	280.830	81.766
9.000	21.840	14.885	278.185	79.985
10.000	21.710	14.885	280.237	79.072
11.000	21.775	14.690	282.328	78.295
12.000	21.775	14.625	287.259	80.617
13.000	22.035	16.510	277.570	84.889
14.000	21.840	14.430	286.701	82.202
15.000	22.035	14.170	290.779	83.550
16.000	22.295	14.300	288.293	81.823
17.000	21.775	16.055	279.014	85.139
18.000	22.035	16.120	280.374	83.310
19.000	21.580	15.080	280.844	77.837
20.000	21.645	15.925	277.524	79.939
21.000	21.645	15.730	281.454	80.159
22.000	21.515	15.665	285.347	81.292
23.000	21.450	15.470	284.233	78.953
24.000	21.385	15.470	285.575	77.673
25.000	21.450	15.340	285.550	77.301
26.000	21.385	15.275	281.040	74.844
27.000	21.190	15.145	283.757	74.561
28.000	20.995	15.015	282.768	73.419
29.000	21.060	14.820	276.170	71.385
30.000	21.060	14.625	276.251	69.540
31.000	20.410	14.625	270.588	68.602
32.000	20.475	14.885	270.065	67.165
33.000	20.475	14.755	272.522	68.705
34.000	20.540	14.625	275.612	68.577
35.000	20.605	14.625	274.165	68.579
36.000	20.215	14.495	270.129	68.370
37.000	20.280	15.015	273.235	70.354
38.000	20.150	15.015	271.583	69.286
39.000	20.150	14.950	274.139	68.842
40.000	20.345	14.885	270.717	66.608
41.000	20.345	14.885	277.312	68.615
42.000	20.345	14.690	276.681	70.503
43.000	20.475	14.820	278.489	71.830
44.000	20.410	14.820	276.455	69.629
45.000	20.540	14.690	274.099	71.374
46.000	20.540	14.560	276.121	71.590
47.000	20.475	14.755	275.453	71.576
48.000	20.475	14.820	275.606	70.952
49.000	20.475	15.015	273.283	70.850
50.000	20.605	15.015	274.145	71.777
51.000	20.345	14.950	273.199	71.147
52.000	20.215	14.495	271.227	68.750
53.000	20.215	14.950	273.142	70.134
54.000	20.280	14.950	270.847	68.415
55.000	20.345	14.820	273.891	67.967
56.000	20.280	14.820	274.373	68.478
57.000	20.410	14.495	277.482	68.407
58.000	20.345	14.300	278.222	66.252
59.000	20.085	14.170	277.659	65.939
60.000	20.085	14.495	277.715	66.889
61.000	20.150	14.365	280.356	68.277
62.000	20.085	14.105	281.853	69.024
63.000	20.150	14.235	284.126	68.763
64.000	19.695	14.430	279.871	67.466
65.000	19.695	14.300	276.676	66.746
66.000	19.890	14.105	277.978	66.243
67.000	19.760	14.300	278.472	67.075
68.000	19.825	14.300	280.422	67.149
69.000	20.020	13.845	279.747	67.785
70.000	20.020	14.625	279.043	70.636
71.000	19.955	14.430	276.949	70.643
72.000	19.305	14.820	278.082	71.633
73.000	19.825	14.300	278.739	70.171
74.000	19.370	14.820	280.040	71.744
75.000	20.475	14.365	287.772	70.970
76.000	20.410	14.625	286.709	70.419
77.000	19.435	14.820	282.382	73.306
78.000	19.500	14.950	279.949	70.452
79.000	19.175	16.380	276.579	70.810
80.000	19.175	16.250	281.786	70.999
81.000	19.305	16.120	280.239	70.720
82.000	20.540	15.925	285.359	68.217
83.000	20.020	15.990	282.651	67.399
84.000	20.020	15.795	280.781	65.588
85.000	19.955	15.665	279.066	64.239
86.000	20.150	15.795	280.714	64.385
87.000	20.215	15.730	279.695	66.586
88.000	19.240	15.600	277.803	67.363
89.000	19.240	15.665	276.924	66.950
90.000	19.110	15.795	277.748	66.509
91.000	19.045	15.340	280.625	67.833
92.000	19.500	15.275	279.930	67.197
93.000	19.305	14.625	281.478	65.176
94.000	19.955	14.040	282.336	64.921
95.000	20.085	13.910	279.006	64.742
96.000	19.890	15.535	278.558	66.022
97.000	19.890	13.975	283.791	65.414
98.000	19.825	14.170	284.935	64.751
99.000	20.020	13.975	283.325	63.799
100.000	19.955	13.975	283.799	66.130
101.000	19.890	13.975	285.420	64.838
102.000	18.980	15.015	281.616	64.216
103.000	18.980	15.015	282.237	64.003
104.000	19.175	15.015	281.756	66.011
105.000	19.045	15.015	273.918	63.926
106.000	18.785	15.210	278.786	64.365
107.000	18.655	15.275	280.996	65.746
108.000	18.850	15.080	279.284	65.002
109.000	18.850	15.145	280.869	64.837
110.000	19.045	14.820	280.682	65.009
111.000	19.045	14.755	280.363	65.668
112.000	19.305	14.495	281.559	65.187
113.000	19.240	14.625	280.834	63.850
114.000	19.500	14.365	279.930	63.744
115.000	19.370	14.950	281.027	62.694
116.000	19.500	14.885	282.460	63.255
117.000	19.435	14.755	284.333	64.111
118.000	19.240	14.885	282.631	62.666
119.000	19.305	14.950	280.942	62.877
120.000	19.045	15.210	278.117	60.714
121.000	18.980	15.080	279.784	61.843
