dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)
-10.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.000	-10.000	148.367	661.488	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	-10.000	185.059	642.881	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	-10.000	140.804	631.927	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-9.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	-9.000	145.733	614.770	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	-9.000	190.294	646.861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	-9.000	138.717	630.601	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-8.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	-8.000	138.524	608.255	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	-8.000	194.235	648.999	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	-8.000	136.556	628.513	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-7.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	-7.000	138.880	609.295	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	-7.000	162.588	641.732	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	-7.000	134.333	625.302	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-6.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-6.000	161.353	611.222	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	-6.000	152.294	640.447	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	-6.000	131.872	604.730	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-5.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	-5.000	139.333	609.692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	-5.000	131.824	631.435	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	-5.000	136.383	607.905	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-4.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-4.000	139.353	606.456	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	-4.000	140.647	631.927	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.000	-4.000	135.077	607.820	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-3.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-3.000	142.941	611.048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	-3.000	138.941	630.601	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000	-3.000	135.881	623.621	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-2.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-2.000	136.235	611.624	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	-2.000	128.588	628.513	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	-2.000	135.211	625.538	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-1.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-1.000	131.429	610.960	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	-1.000	129.706	625.302	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	-1.000	134.941	629.077	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.000	1.000	0.000	189.617	689.520	167.668	136.417	143.889	4.707	0.000	NaN	NaN	1.000	0.000	183.000	689.520	148.444	131.185	138.348	1.843	0.000	NaN	NaN	1.000	0.000	188.481	689.520	140.931	127.759	142.133	7.441	0.000	NaN	NaN	15.000	0.000	131.917	612.876	123.500	123.500	137.333	0.364	0.364	NaN	NaN	77.000	0.000	126.433	604.730	124.812	123.069	131.600	1.426	1.426	NaN	NaN	83.000	0.000	130.154	627.872	129.766	130.483	140.417	1.196	1.196	NaN	NaN
1.000	2.000	1.000	192.860	665.695	161.421	126.154	136.500	4.937	0.230	0.234	0.000	2.000	1.000	183.353	665.695	150.130	129.586	139.867	2.436	0.593	0.206	-0.227	2.000	1.000	183.821	665.695	137.236	123.846	132.417	7.476	0.035	0.065	0.065	16.000	1.000	126.833	612.869	123.421	123.421	127.812	0.396	0.031	0.145	0.058	78.000	1.000	130.097	607.905	127.646	128.067	136.071	0.871	-0.555	-0.689	-0.179	84.000	1.000	128.600	629.601	128.284	126.739	131.059	1.139	-0.057	0.719	0.452
2.000	3.000	2.000	190.870	665.893	160.661	129.259	140.750	5.343	0.406	0.274	1.232	3.000	2.000	176.286	665.893	145.550	129.080	142.333	2.463	0.027	0.144	0.061	3.000	2.000	189.838	665.893	139.063	130.320	137.600	7.717	0.241	-0.065	-0.130	17.000	2.000	132.030	611.997	126.810	126.412	135.286	0.617	0.221	-0.056	-0.145	79.000	2.000	131.487	607.820	125.170	124.429	131.857	1.900	1.029	0.907	0.000	85.000	2.000	131.920	627.339	128.385	128.917	138.250	0.446	-0.693	-0.598	0.046
3.000	4.000	3.000	186.391	662.249	160.622	128.500	136.059	5.611	0.268	0.182	-0.286	4.000	3.000	180.852	662.249	146.100	125.667	133.882	2.842	0.379	0.205	-0.205	4.000	3.000	180.128	662.249	136.318	126.333	133.812	7.862	0.146	0.071	0.058	18.000	3.000	133.415	616.490	127.745	124.893	137.278	0.890	0.274	-0.108	-0.241	80.000	3.000	132.024	623.621	130.590	123.565	133.000	3.251	1.351	-0.866	-2.064	86.000	3.000	130.548	629.094	127.444	125.318	131.882	0.798	0.353	0.310	-0.034
4.000	5.000	4.000	188.625	661.488	163.436	127.464	134.050	6.211	0.601	0.161	-0.342	5.000	4.000	177.000	661.488	145.797	130.640	137.762	2.953	0.111	0.039	0.039	5.000	4.000	189.674	661.488	139.397	124.040	135.667	8.103	0.241	0.000	-0.259	19.000	4.000	133.176	613.643	130.867	129.000	138.125	0.668	-0.223	0.046	0.276	81.000	4.000	131.067	625.538	129.039	124.364	130.188	2.888	-0.363	-0.082	0.144	87.000	4.000	127.333	628.696	127.608	124.828	134.100	3.018	2.219	2.046	0.426
5.000	6.000	5.000	176.704	614.770	155.831	127.680	136.636	6.322	0.111	0.077	0.286	6.000	5.000	183.871	614.770	146.287	127.435	137.750	3.553	0.601	0.061	-0.578	6.000	5.000	177.140	614.770	138.177	122.500	129.000	8.375	0.271	-0.135	-0.194	20.000	5.000	129.424	614.456	129.250	127.286	137.000	0.652	-0.015	-0.013	-0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	5.000	133.047	627.337	132.222	128.321	137.143	4.682	1.664	2.341	0.917
6.000	7.000	6.000	153.327	608.255	138.918	124.571	141.333	2.854	-3.468	0.071	1.911	7.000	6.000	169.639	608.255	138.524	123.080	128.467	3.274	-0.279	-0.059	0.268	7.000	6.000	169.806	608.255	135.439	122.087	134.875	7.793	-0.582	0.000	0.065	21.000	6.000	129.815	615.167	128.879	129.433	138.647	0.598	-0.055	-0.022	-0.100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	6.000	141.605	633.961	133.278	129.000	137.381	6.549	1.867	0.100	-1.933
7.000	8.000	7.000	153.116	609.295	139.019	125.800	137.700	3.095	0.241	0.037	-0.288	8.000	7.000	170.643	609.295	139.339	123.643	136.500	3.477	0.203	-0.086	-0.232	8.000	7.000	170.107	609.295	134.069	122.962	129.211	7.828	0.035	0.006	0.000	22.000	7.000	134.184	610.485	132.308	131.304	148.167	1.177	0.580	-0.197	-0.612	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	7.000	135.925	632.708	132.847	129.333	135.941	5.773	-0.777	-0.044	0.595
8.000	9.000	8.000	164.044	611.222	141.618	123.292	131.312	3.961	0.865	0.038	-0.793	9.000	8.000	161.552	611.222	137.516	125.966	134.200	3.255	-0.222	-0.025	0.085	9.000	8.000	168.500	611.222	136.589	121.920	130.200	8.050	0.222	0.000	0.006	23.000	8.000	129.926	616.775	127.767	128.565	136.583	0.557	-0.620	0.091	0.467	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	8.000	134.517	631.168	132.970	129.818	136.579	4.958	-0.815	-0.084	0.630
9.000	10.000	9.000	158.053	609.692	135.982	124.480	139.500	3.298	-0.663	0.110	0.627	10.000	9.000	168.968	609.692	138.890	126.393	133.045	3.393	0.138	0.000	-0.114	10.000	9.000	157.741	609.692	132.875	122.846	133.889	7.300	-0.750	-0.065	0.381	24.000	9.000	133.886	619.970	130.610	124.091	133.600	1.242	0.685	0.263	-0.263	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	9.000	136.694	627.986	132.908	125.389	132.286	4.755	-0.203	0.024	0.290
10.000	11.000	10.000	145.610	606.456	131.355	121.348	132.200	3.160	-0.138	0.056	0.234	11.000	10.000	159.179	606.456	138.950	128.500	138.438	3.144	-0.249	0.000	0.145	11.000	10.000	171.974	606.456	132.668	119.952	123.278	7.866	0.566	0.060	-0.254	25.000	10.000	139.132	618.090	133.639	126.000	130.278	1.816	0.574	-0.035	-0.445	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	10.000	141.500	630.837	133.846	126.957	134.286	5.199	0.444	-0.146	-0.699
