dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)
21.000	22.000	21.000	189.805	610.485	144.323	123.538	129.545	7.302	0.011	0.056	0.009	22.000	21.000	150.815	610.485	141.750	134.781	145.789	1.832	-1.045	0.085	0.894	22.000	21.000	161.750	610.485	134.194	127.308	136.583	7.257	-0.027	-0.132	-0.127	36.000	21.000	137.200	624.120	129.523	122.200	131.846	1.353	0.536	0.465	-0.174	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	104.000	21.000	201.351	634.231	152.723	128.538	141.000	5.922	-0.674	-0.123	0.288
22.000	23.000	22.000	183.978	616.775	140.314	124.192	128.619	7.340	0.038	0.113	0.201	23.000	22.000	166.559	616.775	143.180	134.040	148.143	2.720	0.888	-0.084	-0.640	23.000	22.000	157.897	616.775	133.841	123.679	133.000	7.544	0.287	-0.065	-0.325	37.000	22.000	134.694	630.020	132.818	133.037	141.087	0.702	-0.652	-0.138	0.460	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	105.000	22.000	214.811	635.967	147.250	126.267	135.200	7.824	1.902	1.399	0.000
23.000	24.000	23.000	184.106	619.970	143.675	126.560	135.000	7.248	-0.092	0.000	0.032	24.000	23.000	169.829	619.970	143.777	131.462	152.556	2.823	0.103	-0.061	-0.101	24.000	23.000	152.931	619.970	134.863	122.417	142.750	7.590	0.046	-0.065	-0.128	38.000	23.000	136.268	630.593	130.105	131.684	140.900	0.928	0.227	0.378	0.181	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	106.000	23.000	216.978	631.555	147.040	130.957	136.286	7.689	-0.135	0.021	0.000
24.000	25.000	24.000	156.667	618.090	133.505	122.160	137.000	5.576	-1.672	0.178	1.594	25.000	24.000	172.881	618.090	144.106	130.034	144.846	2.961	0.138	0.000	-0.283	25.000	24.000	165.100	618.090	135.214	122.875	134.500	7.609	0.019	-0.065	-0.064	39.000	24.000	216.724	643.049	153.225	129.280	136.773	5.256	4.328	0.157	-3.706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	107.000	24.000	133.500	604.070	131.429	130.625	142.909	0.668	-7.021	0.051	5.857
25.000	26.000	25.000	166.769	613.819	137.017	125.407	140.750	5.852	0.276	0.234	-0.034	26.000	25.000	156.758	613.819	143.284	128.571	134.846	2.176	-0.785	0.000	0.566	26.000	25.000	166.926	613.819	138.867	124.966	132.476	7.666	0.057	0.065	-0.066	40.000	25.000	223.143	642.939	154.270	124.783	132.333	5.922	0.666	0.327	-0.266	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	108.000	25.000	135.559	606.722	131.510	130.100	139.167	0.890	0.222	-0.214	-0.413
26.000	27.000	26.000	190.163	615.929	138.784	123.385	129.950	6.471	0.620	0.070	-0.379	27.000	26.000	169.000	615.929	144.512	126.821	134.182	2.869	0.693	0.000	-0.205	27.000	26.000	173.241	615.929	138.353	123.241	130.105	7.850	0.184	0.000	-0.130	41.000	26.000	228.968	642.154	159.489	128.062	133.824	6.101	0.179	0.143	-0.144	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	109.000	26.000	137.735	605.371	131.750	132.474	151.500	0.882	-0.008	0.349	0.378
27.000	28.000	27.000	200.211	613.827	141.573	126.179	132.545	6.333	-0.138	-0.129	-0.113	28.000	27.000	148.172	613.827	139.274	130.179	137.476	1.418	-1.450	0.000	0.897	28.000	27.000	171.276	613.827	137.757	123.828	136.545	7.842	-0.008	0.000	0.000	42.000	27.000	216.903	640.080	160.687	135.415	146.786	6.120	0.019	0.070	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	110.000	27.000	138.333	603.300	132.289	125.571	139.000	1.602	0.720	0.524	-0.145
28.000	29.000	28.000	203.921	616.621	141.482	125.440	138.500	6.437	0.103	0.000	-0.114	29.000	28.000	172.733	616.621	142.976	129.786	136.941	3.137	1.718	0.060	-1.413	29.000	28.000	180.034	616.621	139.890	125.692	133.786	7.969	0.127	0.000	-0.067	43.000	28.000	215.647	639.493	158.402	133.053	139.462	6.074	-0.046	-0.080	0.062	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	111.000	28.000	135.119	603.563	131.379	127.920	137.909	1.077	-0.525	-1.050	-0.507
29.000	30.000	29.000	191.244	613.554	145.464	127.160	138.727	6.842	0.406	0.089	-0.089	30.000	29.000	138.029	613.554	134.272	127.267	133.350	1.418	-1.718	0.079	1.576	30.000	29.000	201.259	613.554	142.492	127.462	132.850	8.121	0.152	-0.065	-0.330	44.000	29.000	220.853	642.699	158.548	127.714	138.083	6.510	0.436	0.473	-0.019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	112.000	29.000	144.333	622.077	134.839	130.270	141.684	4.625	3.548	-0.225	-3.370
30.000	31.000	30.000	198.955	620.148	152.381	125.318	145.000	6.961	0.119	-0.032	-0.089	31.000	30.000	151.818	620.148	140.376	127.320	138.455	2.371	0.953	0.205	-0.473	31.000	30.000	210.214	620.148	146.618	132.720	146.111	8.167	0.046	-0.065	-0.065	45.000	30.000	219.147	640.991	157.556	132.344	143.923	6.656	0.146	0.062	-0.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	113.000	30.000	143.911	615.632	133.659	123.737	133.000	4.449	-0.176	-0.251	0.000
31.000	32.000	31.000	205.512	620.920	152.059	121.130	132.111	7.072	0.111	-0.056	0.056	32.000	31.000	142.286	620.920	140.636	131.840	149.000	1.751	-0.620	0.144	0.391	32.000	31.000	221.552	620.920	146.827	128.077	139.833	8.305	0.138	-0.002	-0.130	46.000	31.000	214.071	639.135	157.337	129.811	137.538	6.637	-0.019	0.063	0.017	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	114.000	31.000	139.548	616.409	133.480	131.714	137.417	1.556	-2.893	-2.062	0.411
32.000	33.000	32.000	210.744	619.673	153.835	125.375	137.250	7.015	-0.057	-0.113	-0.081	33.000	32.000	140.900	619.673	135.503	124.933	134.550	1.575	-0.176	0.142	0.364	33.000	32.000	218.222	619.673	145.713	121.720	128.529	8.486	0.181	-0.063	-0.063	47.000	32.000	202.963	640.111	158.153	126.875	140.200	6.450	-0.187	0.100	0.249	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	115.000	32.000	130.333	615.413	129.842	129.667	137.083	0.817	-0.739	-0.872	-0.203
33.000	34.000	33.000	216.041	619.294	152.385	121.778	133.750	7.172	0.157	-0.178	-0.010	34.000	33.000	144.576	619.294	142.891	133.120	149.857	1.927	0.352	0.143	-0.205	34.000	33.000	200.148	619.294	147.145	125.583	133.500	8.259	-0.227	0.000	0.062	48.000	33.000	220.286	643.405	160.851	126.692	135.429	6.691	0.241	0.124	-0.143	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	116.000	33.000	141.578	619.261	134.721	130.056	139.500	1.881	1.064	0.106	-0.777
34.000	35.000	34.000	147.200	622.446	131.761	123.692	132.867	4.293	-2.878	-0.058	1.778	35.000	34.000	179.289	622.446	142.985	130.000	144.071	4.051	2.124	0.060	-1.734	35.000	34.000	185.704	622.446	147.687	123.720	132.091	8.137	-0.122	0.065	0.195	49.000	34.000	219.333	643.820	162.048	125.321	134.917	6.691	0.000	0.019	0.081	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	117.000	34.000	136.194	616.134	137.182	137.400	158.000	0.479	-1.403	0.116	0.116
35.000	36.000	35.000	149.586	624.120	133.528	123.444	132.214	4.202	-0.092	-0.088	-0.030	36.000	35.000	171.692	624.120	141.823	132.033	142.235	4.013	-0.038	0.145	0.118	36.000	35.000	218.778	624.120	148.563	119.920	125.684	8.462	0.325	0.000	-0.325	50.000	35.000	220.300	643.138	158.250	122.200	130.632	6.599	-0.092	0.000	0.124	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	118.000	35.000	133.704	614.356	132.000	131.300	140.750	0.460	-0.018	0.046	-0.092
36.000	37.000	36.000	205.550	630.020	148.878	127.600	136.250	5.121	0.919	-0.196	-0.952	37.000	36.000	175.179	630.020	147.695	131.040	153.625	4.208	0.195	0.204	0.000	37.000	36.000	220.222	630.020	153.006	124.481	133.250	8.584	0.122	0.000	-0.130	51.000	36.000	214.939	642.242	157.596	120.500	130.348	6.626	0.027	0.125	0.081	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	119.000	36.000	141.800	618.847	135.341	133.481	145.000	0.817	0.357	0.068	-0.256
37.000	38.000	37.000	197.333	630.593	148.533	128.357	134.455	4.899	-0.222	-0.234	-0.053	38.000	37.000	170.595	630.593	143.493	131.586	140.611	4.292	0.084	0.036	0.024	38.000	37.000	237.276	630.593	153.344	125.480	130.526	8.814	0.230	0.068	-0.133	52.000	37.000	211.250	639.109	157.668	123.406	128.286	6.534	-0.092	0.081	0.124	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	120.000	37.000	140.963	617.007	129.902	125.450	133.357	1.112	0.295	0.370	0.041
38.000	39.000	38.000	203.833	643.049	148.591	125.966	135.167	5.037	0.138	-0.197	-0.287	39.000	38.000	169.826	643.049	144.214	129.040	138.933	4.579	0.287	0.145	-0.085	39.000	38.000	222.393	643.049	149.199	126.000	132.444	8.749	-0.065	-0.003	0.065	53.000	38.000	208.097	639.473	161.260	125.000	131.765	6.886	0.352	0.187	-0.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	121.000	38.000	141.379	619.106	134.953	131.500	146.000	0.772	-0.341	-0.361	-0.036
39.000	40.000	39.000	222.581	642.939	153.309	124.357	131.263	4.972	-0.065	-0.197	-0.251	40.000	39.000	172.600	642.939	142.719	133.440	146.091	4.552	-0.027	0.205	0.145	40.000	39.000	220.357	642.939	149.010	124.696	134.417	8.416	-0.333	-0.061	0.255	54.000	39.000	223.567	642.562	166.804	128.406	137.500	6.985	0.100	0.143	0.018	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
40.000	41.000	40.000	216.029	642.154	155.508	123.400	133.538	5.056	0.084	-0.090	-0.144	41.000	40.000	173.400	642.154	140.078	119.346	133.875	4.939	0.387	0.181	-0.145	41.000	40.000	215.889	642.154	148.668	121.462	127.412	8.546	0.130	0.065	-0.061	55.000	40.000	234.333	641.434	163.279	128.667	137.375	7.069	0.084	0.000	-0.081	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
41.000	42.000	41.000	211.594	640.080	155.190	125.929	135.444	4.945	-0.111	-0.090	-0.054	42.000	41.000	177.125	640.080	144.465	123.917	136.455	5.318	0.379	0.197	-0.145	42.000	41.000	192.815	640.080	145.987	120.583	129.200	8.026	-0.520	-0.068	0.457	56.000	41.000	215.571	644.412	160.233	129.677	138.150	6.893	-0.176	0.082	0.309	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
42.000	43.000	42.000	215.618	639.493	157.519	126.207	145.000	4.926	-0.019	-0.106	-0.038	43.000	42.000	174.794	639.493	143.386	121.182	129.583	5.345	0.027	0.325	0.205	43.000	42.000	215.966	639.493	147.623	120.905	137.000	8.148	0.122	0.000	-0.198	57.000	42.000	216.455	647.463	157.199	122.000	133.867	7.077	0.184	0.206	0.019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
43.000	44.000	43.000	219.848	642.699	160.381	125.071	132.611	4.926	0.000	-0.126	-0.054	44.000	43.000	173.650	642.699	140.554	124.591	129.706	5.697	0.352	0.205	-0.060	44.000	43.000	203.448	642.699	150.098	125.679	136.000	8.118	-0.030	0.000	0.130	58.000	43.000	213.179	646.740	155.335	127.400	141.667	7.134	0.057	-0.019	-0.143	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
44.000	45.000	44.000	213.676	640.991	165.477	127.714	134.682	4.861	-0.065	-0.106	-0.038	45.000	44.000	175.559	640.991	141.377	127.391	134.286	5.842	0.146	0.257	0.060	45.000	44.000	194.037	640.991	145.332	123.556	130.846	7.777	-0.341	0.000	0.260	59.000	44.000	214.833	645.839	157.455	126.250	145.222	7.245	0.111	0.143	0.081	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
45.000	46.000	45.000	210.436	639.135	169.563	136.852	158.765	4.631	-0.230	-0.052	0.143	46.000	45.000	184.804	639.135	139.680	124.000	129.950	6.435	0.593	0.060	-0.325	46.000	45.000	187.000	639.135	142.444	121.885	131.833	7.682	-0.095	0.004	0.130	60.000	45.000	201.233	648.324	154.008	129.719	136.522	7.180	-0.065	0.081	0.143	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
46.000	47.000	46.000	203.881	640.111	165.125	131.846	143.917	4.677	0.046	0.157	0.157	47.000	46.000	178.149	640.111	138.105	122.783	131.062	6.714	0.279	0.266	-0.037	47.000	46.000	208.800	640.111	147.582	125.615	133.056	7.877	0.195	-0.003	-0.195	61.000	46.000	208.969	650.020	153.505	127.867	137.278	7.421	0.241	0.081	-0.106	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
47.000	48.000	47.000	208.049	643.405	169.802	128.625	144.545	4.907	0.230	0.182	-0.091	48.000	47.000	181.457	643.405	135.931	120.000	126.188	6.963	0.249	0.265	0.036	48.000	47.000	207.862	643.405	146.248	121.852	127.056	7.942	0.065	0.065	0.000	62.000	47.000	200.400	650.294	150.165	124.133	134.467	7.283	-0.138	0.143	0.268	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
48.000	49.000	48.000	202.419	643.820	164.091	131.750	138.500	4.842	-0.065	0.091	0.143	49.000	48.000	172.927	643.820	133.930	121.600	129.545	6.955	-0.008	0.145	0.107	49.000	48.000	212.138	643.820	144.127	126.615	135.071	8.072	0.130	0.068	-0.062	63.000	48.000	187.407	648.133	148.855	128.926	136.500	7.081	-0.203	0.062	0.205	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
49.000	50.000	49.000	210.814	643.138	162.516	129.407	136.810	4.915	0.073	0.103	0.012	50.000	49.000	176.711	643.138	136.958	126.636	132.438	7.223	0.268	0.205	-0.024	50.000	49.000	216.607	643.138	145.859	125.519	143.571	7.991	-0.081	-0.068	-0.065	64.000	49.000	180.361	648.967	147.805	129.677	137.875	7.088	0.008	0.143	0.205	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
50.000	51.000	50.000	201.500	642.242	159.636	128.625	137.286	4.823	-0.092	0.132	0.183	51.000	50.000	176.310	642.242	137.279	123.870	136.375	7.399	0.176	0.182	-0.061	51.000	50.000	208.167	642.242	147.640	124.360	131.941	8.029	0.038	-0.062	-0.127	65.000	50.000	173.500	649.309	144.655	126.267	135.588	7.016	-0.073	0.062	0.143	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
51.000	52.000	51.000	209.149	639.109	163.424	122.630	135.929	5.072	0.249	0.195	0.091	52.000	51.000	179.333	639.109	136.742	122.375	130.000	7.705	0.306	0.145	0.000	52.000	51.000	190.000	639.109	147.970	126.750	134.200	7.991	-0.038	0.000	0.067	66.000	51.000	164.512	645.065	140.912	124.788	132.389	6.472	-0.544	0.029	0.536	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
52.000	53.000	52.000	202.951	639.473	159.740	129.714	139.500	5.098	0.027	0.040	-0.091	53.000	52.000	179.844	639.473	135.365	124.091	147.250	7.686	-0.019	0.084	0.023	53.000	52.000	209.000	639.473	149.766	127.250	158.000	8.270	0.279	-0.002	-0.260	67.000	52.000	167.054	642.881	140.446	122.690	132.556	7.000	0.528	0.046	-0.490	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
53.000	54.000	53.000	212.047	642.562	159.014	128.458	135.929	5.209	0.111	0.131	0.040	54.000	53.000	177.000	642.562	134.409	124.625	129.722	7.556	-0.130	0.061	0.182	54.000	53.000	211.321	642.562	148.223	123.893	132.833	8.362	0.092	0.000	-0.065	68.000	53.000	166.583	646.861	145.047	129.321	140.267	7.176	0.176	0.252	0.079	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
54.000	55.000	54.000	213.048	641.434	154.926	122.143	130.111	5.374	0.165	0.142	-0.091	55.000	54.000	179.261	641.434	134.962	123.231	131.615	7.759	0.203	0.061	-0.061	55.000	54.000	189.407	641.434	150.103	126.519	140.000	8.194	-0.168	-0.065	0.130	69.000	54.000	180.595	648.999	147.260	126.233	135.526	7.647	0.471	0.035	-0.285	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
55.000	56.000	55.000	215.106	644.412	155.582	124.500	129.368	5.439	0.065	0.091	0.142	56.000	55.000	175.581	644.412	133.753	121.864	128.000	7.759	0.000	0.145	0.061	56.000	55.000	221.889	644.412	151.949	130.444	141.300	8.205	0.011	0.002	-0.065	70.000	55.000	161.697	641.732	140.200	126.357	134.368	6.212	-1.435	0.080	1.311	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
56.000	57.000	56.000	215.841	647.463	157.145	128.304	135.714	5.550	0.111	0.183	0.091	57.000	56.000	173.341	647.463	136.606	126.524	131.706	7.916	0.157	0.145	0.000	57.000	56.000	214.963	647.463	148.792	126.962	136.000	8.359	0.154	0.000	-0.065	71.000	56.000	151.667	640.447	132.860	122.833	129.000	5.822	-0.390	0.098	0.616	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
57.000	58.000	57.000	213.829	646.740	154.264	119.926	127.250	5.715	0.165	0.195	-0.052	58.000	57.000	175.450	646.740	135.957	124.227	133.462	8.046	0.130	0.182	0.061	58.000	57.000	196.556	646.740	147.189	123.192	135.333	8.305	-0.054	0.063	0.063	72.000	57.000	134.561	631.435	130.409	120.714	130.706	4.268	-1.553	0.122	1.562	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
58.000	59.000	58.000	220.532	645.839	154.800	124.583	132.857	5.956	0.241	0.040	-0.091	59.000	58.000	174.955	645.839	134.635	125.200	131.080	8.230	0.184	0.084	-0.061	59.000	58.000	228.429	645.839	151.949	124.517	136.357	8.638	0.333	0.000	-0.258	73.000	58.000	139.289	631.927	131.575	119.889	132.500	4.915	0.647	0.185	-0.370	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
59.000	60.000	59.000	230.217	648.324	153.993	124.000	133.429	5.937	-0.019	0.104	0.091	60.000	59.000	175.821	648.324	135.965	126.522	136.000	8.268	0.038	0.145	0.023	60.000	59.000	246.000	648.324	153.780	125.333	135.833	8.844	0.206	-0.063	-0.195	74.000	59.000	135.717	630.601	130.349	124.615	139.333	4.980	0.065	-0.101	-0.061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
60.000	61.000	60.000	226.200	650.020	154.207	123.708	133.375	5.975	0.038	0.040	0.000	61.000	60.000	177.000	650.020	134.339	122.696	132.000	8.490	0.222	0.145	-0.084	61.000	60.000	255.575	650.020	153.063	126.520	136.417	9.074	0.230	0.065	-0.065	75.000	60.000	130.150	628.513	127.155	124.833	130.056	3.343	-1.638	-0.845	0.714	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
61.000	62.000	61.000	208.700	650.294	151.303	125.826	137.500	5.772	-0.203	0.091	0.273	62.000	61.000	180.914	650.294	134.574	120.455	127.000	8.849	0.360	0.289	0.000	62.000	61.000	228.074	650.294	151.473	124.040	137.375	8.749	-0.325	0.130	0.257	76.000	61.000	128.633	625.302	126.675	125.800	133.778	0.707	-2.636	-1.545	0.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
62.000	63.000	62.000	194.419	648.133	151.988	129.409	140.727	5.753	-0.019	0.142	0.153	63.000	62.000	180.542	648.133	134.168	123.400	128.545	9.331	0.482	0.266	-0.122	63.000	62.000	181.815	648.133	150.432	126.640	136.800	8.156	-0.593	0.065	0.584	77.000	62.000	128.902	604.730	NaN	NaN	NaN	NaN	NaN	0.000	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
63.000	64.000	63.000	188.050	648.967	150.134	126.083	137.250	5.696	-0.057	0.041	0.050	64.000	63.000	189.064	648.967	135.270	120.381	125.200	9.469	0.138	0.145	0.061	64.000	63.000	182.074	648.967	150.193	125.190	133.250	8.516	0.360	0.130	-0.130	78.000	63.000	126.853	607.905	128.286	130.833	133.200	0.452	0.452	0.000	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
64.000	65.000	64.000	179.933	649.309	145.193	125.292	133.909	5.558	-0.138	0.042	0.183	65.000	64.000	178.805	649.309	132.519	119.227	124.786	9.580	0.111	0.289	0.106	65.000	64.000	212.593	649.309	153.159	121.619	128.143	9.025	0.509	0.130	-0.323	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
65.000	66.000	65.000	178.163	645.065	145.386	120.630	127.300	5.244	-0.314	-0.183	0.141	66.000	65.000	189.089	645.065	133.385	122.286	128.615	9.756	0.176	0.000	-0.145	66.000	65.000	191.259	645.065	152.465	121.545	130.750	9.006	-0.019	0.000	0.127	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
66.000	67.000	66.000	178.111	642.881	146.101	122.583	137.444	5.209	-0.035	-0.223	-0.142	67.000	66.000	185.378	642.881	133.885	124.208	132.071	10.005	0.249	0.229	0.037	67.000	66.000	219.741	642.881	157.845	121.708	129.571	9.530	0.525	0.133	-0.195	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
67.000	68.000	67.000	186.178	646.861	149.718	122.520	131.000	5.171	-0.038	0.000	0.000	68.000	67.000	187.521	646.861	134.238	126.350	130.667	10.338	0.333	0.205	-0.061	68.000	67.000	193.571	646.861	156.593	122.080	129.286	9.641	0.111	0.065	0.062	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
68.000	69.000	68.000	193.556	648.999	148.287	127.778	135.750	5.217	0.046	-0.142	-0.183	69.000	68.000	190.222	648.999	133.737	124.550	127.938	10.503	0.165	0.229	0.000	69.000	68.000	202.143	648.999	162.170	121.520	126.800	9.690	0.049	0.130	-0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
69.000	70.000	69.000	182.225	641.732	146.658	126.320	141.727	5.060	-0.157	-0.091	0.040	70.000	69.000	190.293	641.732	131.537	120.550	128.214	10.706	0.203	0.289	0.084	70.000	69.000	211.000	641.732	163.231	120.522	127.000	9.874	0.184	0.199	-0.069	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
