T	X	Y	Mean	StdDev
1.000	12.480	11.765	476.442	215.725
2.000	12.415	11.635	454.865	204.851
3.000	12.480	11.570	454.880	204.755
4.000	12.415	11.505	454.111	207.470
5.000	12.350	11.375	451.426	207.487
6.000	11.895	11.440	453.441	210.251
7.000	11.895	11.310	454.376	209.721
8.000	11.700	11.115	455.694	209.935
9.000	11.635	11.115	455.667	209.380
10.000	11.570	11.310	453.259	207.577
11.000	11.570	10.985	451.812	207.056
12.000	11.505	10.790	452.961	205.569
13.000	11.505	10.790	450.394	202.831
14.000	11.505	11.375	446.930	203.365
15.000	11.440	11.830	443.486	199.382
16.000	11.375	11.765	440.991	197.755
17.000	11.570	11.700	438.841	196.867
18.000	11.440	11.375	436.951	194.976
19.000	11.310	11.310	435.257	193.773
20.000	11.180	10.335	438.714	195.041
21.000	11.440	11.830	430.136	195.832
22.000	11.310	11.895	432.100	198.863
23.000	11.570	10.270	442.396	196.347
24.000	11.505	11.895	437.839	201.507
25.000	11.440	10.140	445.760	199.471
26.000	11.505	11.570	441.155	203.335
27.000	11.505	11.505	443.472	203.624
28.000	10.985	11.375	444.177	204.165
29.000	10.985	11.245	444.912	204.439
30.000	10.920	10.400	447.361	200.239
31.000	10.920	11.375	441.570	202.530
32.000	10.855	11.375	439.694	200.968
33.000	10.855	11.245	436.563	203.048
34.000	10.855	11.050	438.850	201.677
35.000	10.855	10.465	441.844	202.918
36.000	10.985	10.660	440.815	203.634
37.000	10.855	10.465	440.924	202.552
38.000	10.790	10.530	444.481	205.865
39.000	10.725	10.335	446.831	207.118
40.000	10.725	10.335	446.648	208.004
41.000	10.595	10.465	449.806	210.102
42.000	10.595	10.400	451.011	211.694
43.000	10.530	10.335	452.680	213.806
44.000	10.400	10.400	456.860	215.155
45.000	10.400	10.335	458.346	217.846
46.000	10.400	10.205	456.657	216.285
47.000	10.400	10.205	459.561	218.430
48.000	10.270	10.270	458.154	220.348
49.000	10.270	10.530	460.739	220.593
50.000	10.335	10.335	458.563	220.550
51.000	10.270	10.400	460.938	223.422
52.000	10.335	10.335	459.275	222.447
53.000	10.400	10.335	460.188	222.208
54.000	10.335	10.400	458.906	223.232
55.000	10.270	10.270	458.700	223.058
56.000	10.270	10.270	458.326	222.489
57.000	10.335	10.335	459.123	222.100
58.000	10.270	10.400	455.664	222.943
59.000	10.335	10.270	456.952	222.076
60.000	10.400	10.465	455.332	224.100
61.000	10.335	10.400	453.059	222.270
62.000	10.335	10.530	449.312	223.946
63.000	10.335	10.465	450.837	224.055
64.000	10.270	10.335	448.409	224.821
65.000	10.400	10.790	441.618	225.552
66.000	10.335	10.920	440.336	224.816
67.000	9.620	11.115	442.830	223.615
68.000	9.620	11.310	448.396	221.236
69.000	9.490	11.375	447.682	226.806
70.000	9.360	11.570	447.327	225.154
71.000	9.360	11.700	446.037	226.058
72.000	9.555	11.765	447.537	223.580
73.000	9.555	11.765	447.153	222.624
74.000	9.620	12.025	445.033	224.026
75.000	9.555	12.155	444.989	221.276
76.000	9.750	12.220	445.703	220.858
77.000	9.750	12.350	440.125	219.388
78.000	9.685	12.415	441.018	219.624
79.000	9.555	12.545	442.881	219.948
80.000	9.425	12.870	433.024	222.807
81.000	9.425	12.870	429.779	220.410
82.000	9.425	12.805	431.538	218.035
83.000	9.425	12.870	431.084	219.463
84.000	9.425	12.935	440.272	215.665
85.000	9.490	13.195	439.367	214.204
86.000	9.490	13.325	435.255	213.658
87.000	9.490	13.260	438.623	212.640
88.000	9.555	13.325	440.629	210.693
89.000	9.555	13.390	438.235	210.109
90.000	9.555	13.520	438.869	210.006
91.000	9.555	13.650	439.668	208.810
92.000	9.490	13.975	441.331	209.258
93.000	9.425	14.105	446.340	208.924
94.000	9.360	14.105	441.468	208.971
95.000	9.425	14.040	442.142	205.803
96.000	9.360	13.780	444.459	205.486
97.000	9.425	13.325	445.653	205.131
98.000	9.360	12.805	445.750	206.160
99.000	9.295	12.805	446.357	201.485
100.000	9.360	12.740	448.858	202.035
101.000	9.295	12.610	448.225	200.603
102.000	9.360	12.675	445.509	197.698
103.000	9.360	12.220	446.771	198.152
104.000	9.360	12.155	448.646	195.298
105.000	9.360	12.090	444.685	196.083
106.000	9.425	12.350	443.318	194.815
107.000	9.360	11.895	444.385	196.094
108.000	9.295	11.830	448.112	194.390
109.000	9.295	11.700	446.862	195.358
110.000	9.295	11.570	444.909	196.876
111.000	9.360	11.440	449.785	198.775
112.000	9.295	11.440	454.884	198.024
113.000	9.295	11.180	450.781	196.119
114.000	9.425	11.115	452.007	195.149
115.000	9.425	10.660	450.481	198.028
116.000	9.295	10.725	449.208	195.737
117.000	9.360	10.530	447.237	196.855
118.000	9.230	10.530	445.754	196.476
119.000	9.295	10.530	445.191	197.199
120.000	9.425	10.465	447.041	197.765
121.000	9.620	10.335	446.061	196.236
