T	X	Y	Mean	StdDev
1.000	9.750	11.895	266.237	89.947
2.000	9.815	12.155	257.475	85.687
3.000	9.880	11.960	257.568	85.860
4.000	9.750	12.090	259.142	84.450
5.000	9.685	12.025	257.598	85.578
6.000	9.750	12.025	260.538	84.160
7.000	9.685	11.830	260.664	84.334
8.000	9.685	12.090	261.820	83.427
9.000	9.620	11.960	260.619	84.086
10.000	9.620	11.700	261.455	84.548
11.000	9.685	11.700	261.970	83.761
12.000	9.685	12.025	262.670	84.293
13.000	9.685	11.700	263.402	85.360
14.000	9.620	11.830	265.191	82.829
15.000	9.685	11.830	262.391	83.363
16.000	9.685	12.025	262.209	83.614
17.000	9.685	11.830	260.671	83.459
18.000	9.685	12.155	260.945	83.269
19.000	9.620	11.830	261.987	82.598
20.000	9.685	11.830	263.068	81.691
21.000	9.685	11.700	262.126	82.904
22.000	9.750	11.635	261.650	82.504
23.000	9.750	11.635	260.347	82.043
24.000	9.815	11.700	260.089	83.449
25.000	9.750	11.830	259.987	82.471
26.000	9.750	11.700	256.416	81.913
27.000	9.880	11.895	254.769	82.492
28.000	10.010	12.220	255.036	81.192
29.000	10.205	12.350	254.293	80.604
30.000	10.270	12.220	255.149	80.474
31.000	10.140	11.895	254.146	82.308
32.000	10.335	11.895	252.774	81.303
33.000	10.205	11.895	252.748	80.717
34.000	10.075	11.895	253.422	80.308
35.000	10.205	11.830	253.567	81.284
36.000	9.880	11.765	255.232	80.480
37.000	9.880	11.765	255.963	80.718
38.000	10.140	11.700	255.508	80.256
39.000	10.010	11.830	254.224	81.237
40.000	10.205	11.635	254.271	80.661
41.000	9.880	11.765	253.584	80.260
42.000	9.945	11.700	255.174	79.862
43.000	10.010	11.830	252.377	80.747
44.000	10.010	12.025	252.555	80.994
45.000	10.075	12.155	252.462	81.602
46.000	10.075	12.285	250.774	81.544
47.000	10.075	12.220	252.325	81.597
48.000	10.075	12.285	252.783	82.950
49.000	10.010	12.155	252.667	81.787
50.000	10.010	12.220	252.617	82.435
51.000	9.945	12.285	251.832	81.434
52.000	9.945	12.285	251.759	80.231
53.000	9.945	12.285	250.995	81.350
54.000	9.880	12.220	251.091	80.408
55.000	9.750	12.350	250.805	80.079
56.000	9.815	12.545	250.635	81.344
57.000	9.880	12.805	248.657	79.190
58.000	9.750	12.935	250.315	79.018
59.000	9.880	13.065	251.002	79.091
60.000	9.815	13.195	250.169	77.858
61.000	9.750	13.455	249.870	78.370
62.000	9.685	13.715	241.765	81.774
63.000	9.685	13.585	243.759	81.799
64.000	9.750	13.520	243.547	80.196
65.000	9.685	13.260	247.687	81.257
66.000	9.685	13.065	247.125	81.269
67.000	9.555	12.935	250.056	80.686
68.000	9.620	12.740	250.140	79.545
69.000	9.750	12.740	251.392	80.369
70.000	9.815	12.675	252.151	79.735
71.000	9.880	12.610	254.019	78.956
72.000	9.880	12.675	252.165	79.268
73.000	9.945	12.610	254.597	79.652
74.000	9.880	12.675	254.894	78.123
75.000	9.880	12.610	254.555	79.089
76.000	9.945	12.675	256.314	79.794
77.000	10.075	12.675	256.142	79.726
78.000	10.205	12.740	254.455	79.198
79.000	10.335	12.870	257.006	78.570
80.000	10.270	12.870	256.793	77.209
81.000	10.465	13.065	254.970	78.035
82.000	10.205	13.065	254.684	78.953
83.000	10.140	12.935	252.382	78.238
84.000	10.075	12.870	252.980	77.265
85.000	10.010	12.805	254.267	76.970
86.000	10.010	12.740	253.267	76.442
87.000	10.205	12.740	251.050	76.231
88.000	10.140	12.805	252.485	77.359
89.000	10.140	12.805	253.293	75.900
90.000	10.075	12.805	253.241	76.621
91.000	10.075	12.740	252.923	74.707
92.000	10.010	12.740	252.284	75.299
93.000	10.010	12.545	251.247	75.394
94.000	10.075	12.610	250.367	74.552
95.000	10.270	12.480	250.201	74.234
96.000	10.270	12.480	250.793	74.676
97.000	9.945	12.285	251.439	74.300
98.000	10.270	12.285	250.454	74.583
99.000	10.075	12.415	249.823	74.019
100.000	10.205	12.350	247.476	74.353
101.000	10.725	12.480	244.901	75.062
102.000	10.465	12.480	247.193	75.016
103.000	10.140	12.480	248.491	74.668
104.000	10.140	12.415	245.084	76.583
105.000	10.205	12.415	248.097	75.875
106.000	10.010	12.415	250.699	73.771
107.000	10.010	12.480	251.993	74.715
108.000	9.880	12.285	252.711	74.212
109.000	10.010	12.155	251.871	73.919
110.000	9.750	12.285	252.433	74.445
111.000	9.750	12.285	250.177	74.580
112.000	9.685	12.350	252.003	74.798
113.000	11.830	12.480	248.687	77.429
114.000	10.140	12.155	253.570	76.211
115.000	10.205	11.830	253.695	75.111
116.000	10.205	11.895	252.207	74.134
117.000	10.140	11.765	252.299	75.060
118.000	10.010	12.740	250.813	75.254
119.000	10.205	11.960	250.667	75.104
120.000	10.270	11.895	253.321	74.792
121.000	10.270	11.765	252.712	74.820
