T	X	Y	Mean	StdDev
1.000	41.925	22.555	765.877	348.315
2.000	41.925	23.075	734.215	339.102
3.000	41.925	23.140	739.797	337.369
4.000	41.925	23.075	737.227	339.181
5.000	41.860	23.205	730.555	339.790
6.000	41.860	23.140	737.237	338.427
7.000	41.795	23.140	731.531	339.381
8.000	41.730	23.075	734.156	340.120
9.000	41.665	23.140	729.345	340.346
10.000	41.600	23.075	715.378	342.531
11.000	41.665	23.010	714.539	341.487
12.000	41.665	23.010	733.479	335.225
13.000	41.730	23.010	732.081	332.141
14.000	41.470	23.010	720.719	335.463
15.000	41.470	23.075	734.555	329.312
16.000	41.470	23.010	736.680	327.728
17.000	41.470	23.075	737.209	327.586
18.000	41.535	23.010	740.898	319.878
19.000	41.535	23.010	739.037	325.724
20.000	41.600	23.010	742.518	322.440
21.000	41.600	22.945	721.866	326.724
22.000	41.665	22.945	715.356	329.046
23.000	41.665	22.945	720.998	328.001
24.000	41.665	22.945	719.099	326.544
25.000	41.665	22.620	719.826	324.122
26.000	41.600	22.490	728.908	322.346
27.000	41.535	23.270	716.932	327.099
28.000	41.470	23.270	710.662	328.148
29.000	41.470	23.270	715.522	328.525
30.000	41.535	22.555	719.997	328.115
31.000	41.535	23.140	712.794	328.072
32.000	41.795	23.010	718.174	326.214
33.000	41.795	23.010	714.296	320.962
34.000	41.795	23.140	714.132	320.546
35.000	41.795	22.945	714.206	316.123
36.000	41.860	22.945	716.139	312.401
37.000	41.795	23.010	714.668	310.986
38.000	41.795	22.880	714.186	307.198
39.000	41.860	22.880	716.509	304.381
40.000	41.860	22.945	715.371	306.690
41.000	41.860	22.880	713.303	302.692
42.000	41.795	22.815	710.486	300.735
43.000	41.665	22.815	717.976	303.066
44.000	41.730	22.750	714.284	304.270
45.000	41.730	22.815	715.665	306.280
46.000	41.860	22.815	715.521	307.671
47.000	41.860	22.815	710.274	313.850
48.000	41.925	22.815	710.756	314.737
49.000	41.860	22.815	718.232	318.003
50.000	41.925	22.815	709.131	323.358
51.000	41.990	22.620	715.041	319.383
52.000	41.990	22.685	719.073	319.311
53.000	42.055	22.750	715.564	322.491
54.000	41.990	22.750	713.001	325.038
55.000	41.925	22.945	714.187	325.116
56.000	41.860	23.010	722.117	327.358
57.000	41.925	23.140	721.972	333.697
58.000	41.925	23.270	723.860	337.161
59.000	41.925	23.400	718.930	342.970
60.000	41.925	23.400	724.046	341.366
61.000	41.925	23.270	722.183	342.815
62.000	41.925	23.270	721.779	344.297
63.000	41.860	23.465	717.385	344.037
64.000	41.925	23.660	715.552	342.860
65.000	41.860	23.400	713.267	343.809
66.000	41.925	23.530	716.215	341.550
67.000	41.925	23.010	715.041	340.268
68.000	41.925	23.270	710.164	339.079
69.000	41.925	23.140	709.061	339.162
70.000	41.925	23.530	709.193	341.210
71.000	41.925	23.400	710.266	343.959
72.000	41.860	23.335	707.792	344.348
73.000	41.795	23.335	706.459	344.045
74.000	41.795	23.270	705.460	341.773
75.000	41.795	23.465	697.939	341.948
76.000	41.860	23.400	698.383	341.785
77.000	41.795	23.530	694.147	338.374
78.000	41.925	23.790	692.656	339.399
79.000	41.925	23.725	688.441	338.263
80.000	41.925	23.595	692.212	334.181
81.000	41.860	23.595	687.917	332.571
82.000	41.925	23.595	695.121	330.758
83.000	41.990	23.530	693.801	327.806
84.000	41.925	23.530	694.582	325.061
85.000	41.925	23.595	692.745	323.359
86.000	41.925	23.465	690.783	326.023
87.000	41.925	23.595	691.368	324.133
88.000	41.860	23.530	692.176	326.307
89.000	41.925	23.465	698.178	326.383
90.000	41.925	23.465	692.641	325.582
91.000	41.990	23.400	691.080	328.659
92.000	41.990	23.465	693.113	329.972
93.000	41.990	23.660	690.708	330.752
94.000	41.795	23.530	676.499	335.439
95.000	41.795	23.660	680.961	334.868
96.000	42.055	23.660	692.723	332.540
97.000	41.990	23.855	696.754	332.505
98.000	41.990	23.530	696.959	330.093
99.000	42.055	23.465	695.765	330.759
100.000	42.055	23.270	693.579	330.702
101.000	42.055	23.335	694.036	329.958
102.000	42.120	23.335	692.673	333.941
103.000	42.120	23.335	691.337	337.366
104.000	42.120	23.465	690.531	334.694
105.000	42.120	23.270	695.703	335.566
106.000	41.990	23.400	688.612	336.990
107.000	42.055	23.530	687.657	336.476
108.000	41.990	24.440	684.047	336.056
109.000	41.990	24.375	679.805	335.338
110.000	41.795	24.310	677.560	332.480
111.000	41.730	24.310	679.350	329.780
112.000	41.730	24.180	676.843	334.046
113.000	41.730	24.115	674.494	335.257
114.000	41.730	23.985	678.308	334.888
115.000	41.470	23.920	670.813	339.085
116.000	41.470	23.790	670.496	337.934
117.000	41.535	23.725	671.407	339.734
118.000	41.535	23.725	669.994	342.674
119.000	41.535	23.725	670.828	345.131
120.000	41.600	23.660	663.797	345.858
121.000	41.600	23.660	666.765	345.371
